Grid-cell,Longitude,Latitude,pdsi_1535,pdsi_1536,pdsi_1535x1536,pdsi_avg_1yr,pdsi_ext_1yr,pdsi_avg_2yr,pdsi_ext_2yr,pdsi_avg_3yr,pdsi_ext_3yr,pdsi_avg_5yr,pdsi_ext_5yr,pdsi_avg_10yr,pdsi_ext_10yr,bng_x,bng_y
1,16.75,27.25,2.684,1.564,4.197776,-1.564,1.564,-2.124,2.124,-1.8953333333333333,1.8953333333333333,-2.4484000000000004,2.4484000000000004,-0.16649999999999993,2.2819000000000003,2275378.696312608,-2369269.34834429
2,17.25,27.25,2.592,1.548,4.012416,-1.548,1.548,-2.0700000000000003,2.0700000000000003,-1.8613333333333333,1.8613333333333333,-2.3068,2.3068,-0.003999999999999959,2.3028,2326465.1607315373,-2361211.112895319
3,17.75,27.25,2.511,1.146,2.877606,-1.146,1.146,-1.8285,1.8285,-1.4696666666666667,1.4696666666666667,-2.3204000000000002,2.3204000000000002,-0.25850000000000006,2.0618999999999996,2377636.523501622,-2352909.7412957256
4,32.25,27.25,1.543,0.442,0.682006,-0.442,0.442,-0.9924999999999999,0.9924999999999999,-1.6893333333333336,1.6893333333333336,-1.3958,1.3958,-1.1039999999999999,1.3896000000000002,3907996.0258187433,-1991835.5282983785
5,32.75,27.25,-2.101,-1.794,3.769194,1.794,1.794,1.9475,1.9475,1.2550000000000001,1.3416666666666668,0.488,1.0699999999999998,0.7823,1.1097000000000001,3962671.2152932766,-1974598.4946155306
6,33.25,27.25,-1.242,-1.941,2.4107220000000003,1.941,1.941,1.5915,1.5915,0.6516666666666667,1.4703333333333333,0.15139999999999998,1.3257999999999999,0.31189999999999996,1.2193,4017491.2948467517,-1956989.6247118497
7,36.75,27.25,-1.535,-0.052,0.07981999999999999,0.052,0.052,0.7935,0.7935,0.21699999999999997,0.8410000000000001,-0.812,1.4468,-0.812,1.4468,4405396.573376818,-1822769.5705914195
8,37.25,27.25,1.186,-0.978,-1.159908,0.978,0.978,-0.10399999999999998,1.0819999999999999,-0.5226666666666667,1.1746666666666667,-0.34419999999999995,0.9782,0.14409999999999995,0.8147,4461419.716926381,-1801946.5650252944
9,37.75,27.25,-1.955,0.182,-0.35581,-0.182,0.182,0.8865000000000001,1.0685,1.2733333333333337,1.394666666666667,1.0202,1.1030000000000002,0.47400000000000003,0.7466000000000002,4517597.526887577,-1780689.1951700847
10,38.25,27.25,-2.979,-0.699,2.082321,0.699,0.699,1.839,1.839,2.1846666666666668,2.1846666666666668,1.7553999999999998,1.7553999999999998,1.0386,1.1554,4573930.638157727,-1758989.5899344946
11,38.75,27.25,-2.068,-0.649,1.342132,0.649,0.649,1.3585,1.3585,1.5883333333333332,1.5883333333333332,0.6881999999999999,1.2178,0.5631000000000002,0.8911000000000001,4630419.574162222,-1736839.6794507687
12,39.25,27.25,-1.95,-0.793,1.5463500000000001,0.793,0.793,1.3715,1.3715,1.4683333333333335,1.4683333333333335,0.6184000000000001,1.1436,0.5006,0.8071999999999999,4687064.740125204,-1714231.1911790282
13,39.75,27.25,-1.93,-0.819,1.5806699999999998,0.819,0.819,1.3744999999999998,1.3744999999999998,1.4560000000000002,1.4560000000000002,0.6224000000000001,1.1248,0.5074,0.7962,4743866.415985133,-1691155.646013392
14,40.25,27.25,-2.94,0.25,-0.735,-0.25,0.25,1.345,1.595,1.8973333333333333,2.064,1.4567999999999999,1.6347999999999998,0.5882999999999999,1.1000999999999999,4800824.748938931,-1667604.3544003004
15,40.75,27.25,-2.155,-0.486,1.0473299999999999,0.486,0.486,1.3205,1.3205,1.4573333333333334,1.4573333333333334,0.22719999999999993,1.5215999999999998,0.05679999999999994,0.9270000000000002,4857939.745597776,-1643568.4124804528
16,41.25,27.25,,,,,,,,,,,,,,4915211.263737126,-1619038.6982671283
17,41.75,27.25,1.776,-0.159,-0.282384,0.159,0.159,-0.8085,0.9675,-1.1440000000000001,1.25,-1.3276,1.3912,-0.09820000000000002,1.2612,4972639.003623062,-1594005.8678748116
18,42.25,27.25,,,,,,,,,,,,,,5030222.498896483,-1568460.3518135902
19,42.75,27.25,,,,,,,,,,,,,,5087961.106996309,-1542392.351366224
20,43.25,27.25,-1.207,1.085,-1.309595,-1.085,1.085,0.061000000000000054,1.146,-0.8686666666666666,1.6733333333333336,-0.5178,1.4118,-0.5177999999999999,1.4118,5145853.999102368,-1515791.8350664584
21,43.75,27.25,-1.604,1.144,-1.834976,-1.144,1.144,0.2300000000000001,1.374,-0.797,1.8663333333333334,-0.47059999999999996,1.5762,-0.47059999999999996,1.5762,5203900.149578223,-1488648.5352989193
22,44.25,27.25,-0.89,0.213,-0.18957,-0.213,0.213,0.3385,0.5515,0.323,0.465,-0.6166000000000001,1.0894,-0.6166000000000001,1.0894,5262098.324893994,-1460951.9450428043
23,44.75,27.25,-1.229,1.593,-1.957797,-1.593,1.593,-0.18199999999999994,1.411,-1.3046666666666666,2.124,-0.8984,1.7683999999999997,-0.8984,1.7683999999999997,5320447.072008798,-1432691.3147836048
24,16.75,27.75,2.145,0.791,1.696695,-0.791,0.791,-1.468,1.468,-1.103,1.103,-1.9516000000000002,1.9516000000000002,0.031599999999999885,1.9832,2266425.6454324834,-2312176.4322230695
25,17.25,27.75,2.407,1.38,3.3216599999999996,-1.38,1.38,-1.8935,1.8935,-1.6873333333333331,1.6873333333333331,-2.1618000000000004,2.1618000000000004,0.014400000000000102,2.1762,2317239.499107021,-2304025.7715843054
26,17.75,27.75,3.081,-3.503,-10.792743,3.503,3.503,0.21100000000000008,3.292,0.4000000000000001,2.454,-0.3263999999999999,2.0387999999999997,0.23650000000000002,2.3105,2368135.4190698117,-2295629.58311756
27,32.25,27.75,-1.196,0.038,-0.045447999999999995,-0.038,0.038,0.579,0.617,-0.22966666666666669,1.027,0.07020000000000001,0.8242,1.0375999999999999,1.598,3888782.755740467,-1930830.4004688277
28,32.75,27.75,-0.766,-1.774,1.358884,1.774,1.774,1.27,1.27,0.36366666666666664,1.3296666666666666,-0.033399999999999964,1.1758000000000002,0.18359999999999993,1.0474,3943043.5181182185,-1913435.4954499407
29,36.25,27.75,-2.43,-1.147,2.7872100000000004,1.147,1.147,1.7885,1.7885,0.6466666666666667,1.7380000000000002,0.16960000000000003,1.4072,0.6779,1.3305,4326795.557386823,-1780860.47629385
30,36.75,27.75,1.231,-0.931,-1.1460610000000002,0.931,0.931,-0.15000000000000002,1.081,-0.5670000000000001,1.1876666666666666,-0.38499999999999995,0.9853999999999999,0.10569999999999995,0.8073,4382190.008632805,-1760296.6725720135
31,37.25,27.75,-2.181,-0.673,1.467813,0.673,0.673,1.427,1.427,0.9723333333333334,0.9723333333333334,0.3164,0.8503999999999999,0.9921000000000001,1.2590999999999999,4437729.948706547,-1739305.4130067097
32,39.25,27.75,-2.239,-0.502,1.123978,0.502,0.502,1.3704999999999998,1.3704999999999998,1.5636666666666665,1.5636666666666665,0.355,1.5213999999999999,0.1861,0.9489000000000001,4661353.468327349,-1650911.7875555798
33,39.75,27.75,-1.735,-0.079,0.13706500000000002,0.079,0.079,0.907,0.907,1.1913333333333334,1.1913333333333334,0.15820000000000004,1.2714,0.01510000000000003,0.8091000000000002,4717626.4811581895,-1627666.0461621312
34,40.25,27.75,-1.842,0.206,-0.379452,-0.206,0.206,0.8180000000000001,1.024,1.2263333333333335,1.3636666666666668,0.002800000000000041,1.5512000000000001,-0.16399999999999998,1.0168000000000001,4774046.375888645,-1603944.6034504827
35,40.75,27.75,-2.095,-0.66,1.3827000000000003,0.66,0.66,1.3775000000000002,1.3775000000000002,1.532,1.532,0.5264,1.312,0.3859,0.8791,4830612.921818805,-1579738.7200788895
36,41.25,27.75,-1.725,0.38,-0.6555000000000001,-0.38,0.38,0.6725000000000001,1.0525,1.171,1.4243333333333335,-0.024999999999999932,1.5822,-0.18359999999999999,1.0568,4887325.73541557,-1555039.4480286234
37,41.75,27.75,-2.172,-0.337,0.7319640000000001,0.337,0.337,1.2545000000000002,1.2545000000000002,1.5893333333333333,1.5893333333333333,0.46420000000000006,1.443,0.30910000000000004,0.9658999999999999,4944184.271715048,-1529837.6273082278
38,42.25,27.75,1.085,-0.678,-0.73563,0.678,0.678,-0.20349999999999996,0.8815,-0.5103333333333334,0.9623333333333334,-0.8336,1.1048,0.14200000000000004,1.1112000000000002,5001187.815301195,-1504123.8827435023
39,42.75,27.75,,,,,,,,,,,,,,5058335.470843602,-1477888.6208705786
