name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Abbey of St Mary,,Bodmin,8,Augustinian,Canons Regular,Canons,1538,50.4692,-4.7155,,270,5.598421959,2,1,0,1,0,0,4.713740701,0,0,CORNWALL,,
Abbey of the Minoresses of St. Clare without Aldgate,,London,10,Franciscan,Poor Clares,,1539,51.512514,-0.075457,,318,5.762051383,3,0,1,1,0,0,0.042717042,0,0,MIDDLESEX,,
Abbotsbury Abbey,,Abbotsbury,8,Benedictine,,Monks,1538,50.664472,-2.598722,,390,5.966146739,2,1,0,1,0,0,2.62076384,0,0,DORSET,,
Abingdon Abbey,,Abingdon,9,Benedictine,,Monks,1538,51.670872,-1.277557,,1876,7.53689713,2,1,0,1,0,0,1.17056411,0,0,BERKSHIRE,,
Aconbury Priory,,,5,Augustinian,,Canonesses,1539,51.997946,-2.70523,,67,4.204692619,3,1,0,0,1,0,2.632742474,1,67,HEREFORDSHIRE,,
Alcester Abbey,,Alcester,5,Benedictine,,Monks,1536,52.218611,-1.871053,Evesham Abbey,65,4.17438727,0,1,0,0,1,0,1.890760104,0,0,WARWICKSHIRE,,
Aldeby Priory,,Aldeby,7,Benedictine,,Monks,1538,52.482984,1.607129,Norwich Cathedral,25,3.218875825,2,1,0,0,1,0,1.980684974,0,0,NORFOLK,,
Alnwick Abbey,,Alnwick,2,Premonstratensian,,Canons,1539,55.41985,-1.71914,,189,5.241747015,3,0,1,0,1,1,4.224956343,0,0,NORTHUMBERLAND,1147,https://www.newadvent.org/cathen/10789b.htm
Alvingham Priory,,Alvingham,6,Gilbertine,,Mixed,1538,53.40175,0.05614,,128,4.852030264,2,0,1,0,1,1,1.899757258,0,0,LINCOLNSHIRE,,
Amesbury Priory,,Amesbury,8,Benedictine,,Nuns,1539,51.174037,-1.785074,,495,6.204557763,3,1,0,1,0,0,1.700492121,1,495,WILTSHIRE,,
Anglesey Priory,,Lode,7,Augustinian,,Canons,1535,52.237,0.24,,124,4.820281566,-1,1,0,0,1,0,0.810410149,0,0,CAMBRIDGESHIRE,,
Ankerwycke Priory,,Staines,9,Benedictine,,Nuns,1536,51.4442,-0.5565,,44,3.784189634,0,1,0,0,1,0,0.443310501,1,44,BUCKINGHAMSHIRE,,
Ansty Preceptory,,,8,Augustinian,Knights Hospitaller,,1540,51.036495,-2.063967,,81,4.394449155,4,1,0,0,1,0,2.002649587,0,0,WILTSHIRE,,
Appleby Whitefriars Priory,,,1,Carmelites,,,1539,54.581233,-2.489742,,,,3,0,1,0,1,1,3.880355385,0,,WESTMORLAND,,
Arbury Priory,,Arbury,5,Augustinian,,Canons,1536,52.500219,-1.507493,,94,4.543294782,0,1,0,0,1,0,1.706149635,0,0,WARWICKSHIRE,,
Arden Priory,,Hawnby,3,Benedictine,,Nuns,1536,54.310171,-1.203185,,12,2.48490665,0,1,0,0,1,1,3.003059621,1,12,"YORKSHIRE, NORTH RIDING",1150,https://www.british-history.ac.uk/vch/yorks/vol3/pp112-116
Armathwaite Nunnery,,Ainstable,1,Benedictine,,Nuns,1537,54.778725,-2.721439,,18,2.890371758,1,1,0,0,1,1,4.178748266,1,18,CUMBERLAND,1200,https://www.british-history.ac.uk/vch/cumb/vol2/pp189-192
Arthington Priory,,Arthington,3,Benedictine,Cluniac,Nuns,1540,53.9017,-1.562,,11,2.397895273,4,1,0,0,1,1,2.793756629,1,11,"YORKSHIRE, WEST RIDING",1154,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=51447&resourceID=19191
Ashridge Priory,,,7,Augustinian,Bonshommes,Canons,1539,51.799486,-0.559402,,416,6.03068526,3,1,0,1,0,0,0.527777983,0,0,BUCKINGHAMSHIRE,,
Athelney Abbey,Bath Wells,Athelney,8,Benedictine,,Monks,1540,51.0593,-2.93458,,209,5.342334252,4,1,0,1,0,0,2.852313111,0,0,SOMERSET,,
Atherstone Priory,,Atherstone,5,Augustinian,Austin Friars,Friars,1538,52.5741,-1.5364,Lincoln,,,2,1,0,0,1,0,1.773100025,0,,WARWICKSHIRE,,
Austin Friars Grimsby,,Grimsby,6,Augustinian,Austin Friars,Friars,1539,53.566117,-0.086523,Lincoln,,,3,1,0,0,1,1,2.056359459,0,,LINCOLNSHIRE,,
"Austin Friars, Canterbury",,Canterbury,9,Augustinian,Austin Friars,Friars,1538,51.276963,1.080905,Oxford,,,2,1,0,0,1,0,1.221441457,0,,KENT,,
"Austin Friars, London",,City of London,10,Augustinian,Austin Friars,Friars,1539,51.51557,-0.085579,Oxford,,,3,1,0,0,1,0,0.03299455,0,,MIDDLESEX,,
"Austin Friary, Boston",,Boston,6,Augustinian,Austin Friars,Friars,1539,52.9717,-0.0192,Lincoln,,,3,1,0,0,1,1,1.465042013,0,,LINCOLNSHIRE,,
"Austin Friary, Bristol",,Bristol,8,Augustinian,Austin Friars,Friars,1538,51.450283,-2.584094,Oxford,,,2,1,0,0,1,0,2.466716953,0,,GLOUCESTERSHIRE,,
"Austin Friary, Cambridge",,Cambridge,7,Augustinian,Austin Friars,Friars,1538,52.203423,0.118102,Cambridge,,,2,1,0,0,1,0,0.732548184,0,,CAMBRIDGESHIRE,,
