guy,total,name,county,firstName,lastName,place
Ralph Babthorp,300.0,St Clement's Priory,"YORKSHIRE, EAST RIDING",Ralph,Babthorp,
John Elys,480.0,St Clement's Priory,"YORKSHIRE, EAST RIDING",John,Elys,
William Stapleton,240.0,Healaugh Park Priory,"YORKSHIRE, EAST RIDING",William,Stapleton,
___ Tankerd Steward,80.0,Syningthwaite Priory,"YORKSHIRE, EAST RIDING",___,Tankerd,
John Carbott,80.0,Syningthwaite Priory,"YORKSHIRE, EAST RIDING",John,Carbott,
John Lord Hussey,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Lord,
Augustin' Port',240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Augustin',Port',
Thomas Chitteslay,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Chitteslay,
John Crake,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",John,Crake,
Christopher lord Conyers,15936.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Christopher,lord,
Thomas Wray,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Wray,
Richard Chace,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Richard,Chace,
Christopher Perkinson,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Christopher,Perkinson,
Christopher Hargill,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Christopher,Hargill,
Robert Sutton,120.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Robert,Sutton,
Richard Vincent,320.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Richard,Vincent,
Richard Dent,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Richard,Dent,
William Clerk,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",William,Clerk,
Edward Berye,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Edward,Berye,
Thomas Wray,240.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Wray,
Thomas Darcy,1440.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Thomas,Darcy,
George Darcy,960.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",George,Darcy,
William Constable,480.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",William,Constable,
Roger Cholmelay,730.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",Roger,Cholmelay,
George Lawson,1640.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",George,Lawson,
William Maunsell,1200.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",William,Maunsell,
George Lawson,320.0,"St Mary's Abbey, York","YORKSHIRE, NORTH RIDING",George,Lawson,
