county,dlogpopdens1377_1801,logpopdens1377,logpopdens1290,dlogpopdens1290_1801,dlogpopdens1600_1801,logpopdens1600,popdens1600,logpopdens1801,popdens1801,popdens1377,dpopdens1377_1801,cistercianshare,relhouses,rivershare,oceandummy,agrquality1_2,logarea,regionName,area_camp,share_coal,roads,literacy1851,cistercian,cist_dum,cist_area,Rforest,forestshare,grass,cistercianshare_1530,augustinianshare,benedictineshare,cluniacshare,premonshare,logpopdens1377_sq,popdens1377_sq
BEDFORDSHIRE,0.11943984,3.8690474,3.7840705,0.20441675,0.43158865,3.5568986,35.054317,3.9884872,53.973179,47.89674,6.0764389,0.16666667,12,0.12468155,0,0.37293914,7.1134276,East England,1228.3508,0,0.0271628,0.51999998,2,1,0.001628199,1,0.031292915,0.08981435,0.2,0.33333334,0.083333336,0,0,14.969528,2294.0977
BERKSHIRE,0.55999398,3.5173028,3.2785969,0.79869986,0.70444727,3.3728495,29.161501,4.0772967,58.985798,33.693428,25.29237,0,10,0.11421272,0,0.22585602,7.5760078,South East England,1950.8256,0,0.064371668,0.63,0,0,0,1,0.26255119,0.26054019,0,0.30000001,0.60000002,0,0,12.371419,1135.2471
BUCKINGHAMSHIRE,0.45393491,3.6108272,3.6553066,0.40945554,0.69536543,3.3693967,29.060982,4.0647621,58.251045,36.996647,21.254398,0.055555556,18,0.10933189,0,0.078294747,7.5647635,South East England,1929.0126,0,0.033661202,0.56999999,1,1,0.0005184,1,0.26986659,0.3872796,0.1,0.27777779,0.22222222,0.11111111,0.055555556,13.038074,1368.7518
CAMBRIDGESHIRE,0.099196196,3.6249228,3.9373333,-0.2132144,0.25384307,3.4702759,32.145603,3.7241189,41.434711,37.521828,3.9128838,0,15,0.11171521,0,0.73093337,7.7209558,East England,2255.114,0,0.069611832,0.58000004,0,0,0,1,0.020132136,0.061822128,0,0.2,0.33333334,0,0,13.140065,1407.8876
CHESHIRE,1.5442038,2.8434176,2.4989576,1.8886638,0.99834013,3.3892813,29.644638,4.3876214,80.44883,17.174362,63.274467,0.25,8,0.1326869,1,0.10439488,7.8211327,North West England,2492.7273,0.071566939,0.068711899,0.66999996,2,1,0.000802334,1,0.34909695,0.63395464,0.33333334,0.25,0.25,0,0.125,8.0850239,294.95871
CORNWALL,0.68610716,3.3104897,2.0946488,1.901948,0.64899015,3.3476067,28.434584,3.9965968,54.412659,27.398535,27.014124,0,15,0.10970613,1,0.081923418,8.1938286,South West England,3618.5513,0,0,0.63,0,0,0,0,0,0.89006424,0,0.40000001,0.53333336,0.06666667,0,10.959342,750.67969
CUMBERLAND,1.219517,2.1949122,2.5370843,0.87734485,0.48232889,2.9321003,18.76701,3.4144292,30.399595,8.9792128,21.420383,0.25,8,0.12581466,1,0.021053068,8.3022614,North West England,4032.9814,0.084402442,0.057884306,0.84000003,2,1,0.000495911,1,0.22685388,0.86554873,0.25,0.25,0.25,0,0,4.8176394,80.626259
DERBYSHIRE,0.87489581,3.288522,3.3050795,0.85833836,0.8815794,3.2818384,26.62468,4.1634178,64.290871,26.803217,37.487656,0,8,0.130334,0,0.067025997,7.8714218,East Midlands,2621.2898,0.29947346,0.072735153,0.74000001,0,0,0,1,0.16036266,0.64155608,0,0.5,0,0.125,0.25,10.814377,718.41241
DEVON,0.95541048,3.0105567,2.9075382,1.058429,0.32730103,3.6386662,38.041042,3.9659672,52.771282,20.298697,32.472588,0.2,25,0.17348373,1,0.068954021,8.8243217,South West England,6797.5796,0,0.012280504,0.74000001,5,1,0.000735556,1,0.007142465,0.770778,0.22222222,0.2,0.28,0.12,0.039999999,9.0634518,412.03708
DORSET,0.19690967,3.6123877,3.4307544,0.3785429,0.47553658,3.3337607,28.043617,3.8092973,45.118721,37.054417,8.0643044,0.11764706,17,0.10856296,1,0.036889248,7.8909621,South West England,2673.0146,0,0.061132971,0.63999999,2,1,0.000748219,1,0.22189485,0.60074532,0.16666667,0,0.64705884,0.05882353,0,13.049345,1373.0298
