county,pop1086,pop1290,pop1377,pop1600
BEDFORDSHIRE,21695.00,64194.00,36771.00,43059.00
BERKSHIRE,38232.00,61498.00,41081.00,56889.00
BUCKINGHAMSHIRE,30162.00,88631.00,44604.00,56059.00
CAMBRIDGESHIRE,31123.00,137373.00,52885.00,72492.00
CHESHIRE,9589.00,36035.00,26757.00,73896.00
CORNWALL,29532.00,34914.00,61964.00,102892.00
CUMBERLAND,9265.00,60567.00,22633.00,75687.00
DERBYSHIRE,16249.00,84852.00,43912.00,69791.00
DEVON,97221.00,147860.00,86239.00,258587.00
DORSET,46375.00,98113.00,61904.00,74961.00
DURHAM,7732.00,75490.00,24587.00,76483.00
ESSEX,87005.00,167660.00,92053.00,154882.00
GLOUCESTERSHIRE,52565.00,152058.00,81923.00,101256.00
HAMPSHIRE,65702.00,94062.00,70736.00,104197.00
HEREFORDSHIRE,31861.00,72502.00,30230.00,62054.00
HERTFORDSHIRE,24742.00,84529.00,36113.00,58104.00
HUNTINGDONSHIRE,16004.00,66186.00,25616.00,27627.00
KENT,75388.00,163636.00,107482.00,151713.00
LANCASHIRE,11459.00,60962.00,43172.00,181622.00
LEICESTERSHIRE,38167.00,70356.00,61163.00,63140.00
LINCOLNSHIRE,140176.00,386202.00,171965.00,173199.00
MIDDLESEX,39851.00,77399.00,62476.00,280063.00
NORFOLK,148085.00,486920.00,176844.00,171163.00
NORTHAMPTONSHIRE,46611.00,145582.00,75393.00,91075.00
NORTHUMBERLAND,12300.00,148084.00,30389.00,72923.00
NOTTINGHAMSHIRE,31390.00,70520.00,52221.00,78148.00
OXFORDSHIRE,39003.00,90759.00,49424.00,66909.00
RUTLAND,4642.00,23655.00,10837.00,11371.00
SHROPSHIRE,27895.00,114640.00,48502.00,78958.00
SOMERSET,78022.00,151003.00,101376.00,168984.00
STAFFORDSHIRE,18030.00,56715.00,40658.00,77559.00
SUFFOLK,113452.00,225770.00,113106.00,138295.00
SURREY,24710.00,81629.00,32613.00,84804.00
SUSSEX,66135.00,123415.00,65437.00,102003.00
WARWICKSHIRE,37107.00,86829.00,54714.00,65455.00
WESTMORLAND,4807.00,33777.00,13358.00,42199.00
WILTSHIRE,63470.00,159857.00,82847.00,115163.00
WORCESTERSHIRE,26376.00,60470.00,29105.00,65614.00
"YORKSHIRE, EAST RIDING",,115777.00,76760.00,66520.00
"YORKSHIRE, NORTH RIDING",,163634.00,73099.00,101596.00
"YORKSHIRE, WEST RIDING",,127371.00,87049.00,197498.00
YORKSHIRE,44304.00,406782.00,236907.00,365615.00
