,city,year,population,latitude,longitude
6,Aberdeen,700.0,0.0,57.15,-2.11
7,Aberdeen,800.0,0.0,57.15,-2.11
8,Aberdeen,900.0,0.0,57.15,-2.11
9,Aberdeen,1000.0,0.0,57.15,-2.11
10,Aberdeen,1100.0,1.0,57.15,-2.11
11,Aberdeen,1200.0,2.0,57.15,-2.11
12,Aberdeen,1300.0,4.0,57.15,-2.11
13,Aberdeen,1400.0,3.0,57.15,-2.11
14,Aberdeen,1500.0,3.0,57.15,-2.11
15,Aberdeen,1550.0,4.0,57.15,-2.11
16,Aberdeen,1600.0,6.0,57.15,-2.11
17,Aberdeen,1650.0,8.0,57.15,-2.11
18,Aberdeen,1700.0,12.0,57.15,-2.11
19,Aberdeen,1750.0,15.0,57.15,-2.11
20,Aberdeen,1800.0,27.0,57.15,-2.11
21,Aberdeen,1850.0,72.0,57.15,-2.11
22,Aberdeen,1900.0,154.0,57.15,-2.11
23,Aberdeen,1950.0,182.0,57.15,-2.11
24,Aberdeen,2000.0,212.0,57.15,-2.11
204,Barnsley,700.0,0.0,53.5537,-1.4791
205,Barnsley,800.0,0.0,53.5537,-1.4791
206,Barnsley,900.0,0.0,53.5537,-1.4791
207,Barnsley,1000.0,0.0,53.5537,-1.4791
208,Barnsley,1100.0,0.0,53.5537,-1.4791
209,Barnsley,1200.0,1.0,53.5537,-1.4791
210,Barnsley,1300.0,1.0,53.5537,-1.4791
211,Barnsley,1400.0,1.0,53.5537,-1.4791
212,Barnsley,1500.0,1.0,53.5537,-1.4791
213,Barnsley,1550.0,1.0,53.5537,-1.4791
214,Barnsley,1600.0,1.0,53.5537,-1.4791
215,Barnsley,1650.0,1.0,53.5537,-1.4791
216,Barnsley,1700.0,1.0,53.5537,-1.4791
217,Barnsley,1750.0,2.0,53.5537,-1.4791
218,Barnsley,1800.0,4.0,53.5537,-1.4791
219,Barnsley,1850.0,13.0,53.5537,-1.4791
220,Barnsley,1900.0,41.0,53.5537,-1.4791
221,Barnsley,1950.0,55.0,53.5537,-1.4791
222,Barnsley,2000.0,74.0,53.5537,-1.4791
241,Bath,700.0,1.0,51.38,-2.36
242,Bath,800.0,1.0,51.38,-2.36
243,Bath,900.0,1.0,51.38,-2.36
244,Bath,1000.0,1.0,51.38,-2.36
245,Bath,1100.0,1.0,51.38,-2.36
246,Bath,1200.0,2.0,51.38,-2.36
247,Bath,1300.0,2.0,51.38,-2.36
248,Bath,1400.0,1.0,51.38,-2.36
249,Bath,1500.0,2.0,51.38,-2.36
250,Bath,1550.0,2.0,51.38,-2.36
251,Bath,1600.0,2.0,51.38,-2.36
252,Bath,1650.0,3.0,51.38,-2.36
253,Bath,1700.0,3.0,51.38,-2.36
254,Bath,1750.0,10.0,51.38,-2.36
255,Bath,1800.0,33.0,51.38,-2.36
256,Bath,1850.0,54.0,51.38,-2.36
257,Bath,1900.0,50.0,51.38,-2.36
258,Bath,1950.0,65.0,51.38,-2.36
259,Bath,2000.0,84.0,51.38,-2.36
283,Belfast,700.0,0.0,54.5964,-5.93
284,Belfast,800.0,0.0,54.5964,-5.93
285,Belfast,900.0,0.0,54.5964,-5.93
286,Belfast,1000.0,0.0,54.5964,-5.93
287,Belfast,1100.0,0.0,54.5964,-5.93
288,Belfast,1200.0,0.0,54.5964,-5.93
289,Belfast,1300.0,0.0,54.5964,-5.93
290,Belfast,1400.0,0.0,54.5964,-5.93
291,Belfast,1500.0,2.0,54.5964,-5.93
292,Belfast,1550.0,2.0,54.5964,-5.93
293,Belfast,1600.0,2.0,54.5964,-5.93
294,Belfast,1650.0,2.0,54.5964,-5.93
295,Belfast,1700.0,2.0,54.5964,-5.93
296,Belfast,1750.0,9.0,54.5964,-5.93
297,Belfast,1800.0,20.0,54.5964,-5.93
298,Belfast,1850.0,87.0,54.5964,-5.93
299,Belfast,1900.0,349.0,54.5964,-5.93
300,Belfast,1950.0,310.0,54.5964,-5.93
301,Belfast,2000.0,276.0,54.5964,-5.93
334,Beverley,700.0,1.0,53.845,-0.427
335,Beverley,800.0,1.0,53.845,-0.427
336,Beverley,900.0,1.0,53.845,-0.427
337,Beverley,1000.0,1.0,53.845,-0.427
338,Beverley,1100.0,2.0,53.845,-0.427
339,Beverley,1200.0,2.0,53.845,-0.427
340,Beverley,1300.0,2.0,53.845,-0.427
341,Beverley,1400.0,1.0,53.845,-0.427
342,Beverley,1500.0,2.0,53.845,-0.427
343,Beverley,1550.0,2.0,53.845,-0.427
344,Beverley,1600.0,2.0,53.845,-0.427
345,Beverley,1650.0,3.0,53.845,-0.427
346,Beverley,1700.0,3.0,53.845,-0.427
347,Beverley,1750.0,4.0,53.845,-0.427
348,Beverley,1800.0,6.0,53.845,-0.427
349,Beverley,1850.0,9.0,53.845,-0.427
350,Beverley,1900.0,14.0,53.845,-0.427
351,Beverley,1950.0,18.0,53.845,-0.427
352,Beverley,2000.0,23.0,53.845,-0.427
371,Bilston,700.0,0.0,52.566,-2.0728
372,Bilston,800.0,0.0,52.566,-2.0728
373,Bilston,900.0,0.0,52.566,-2.0728
374,Bilston,1000.0,1.0,52.566,-2.0728
375,Bilston,1100.0,1.0,52.566,-2.0728
376,Bilston,1200.0,2.0,52.566,-2.0728
377,Bilston,1300.0,2.0,52.566,-2.0728
378,Bilston,1400.0,1.0,52.566,-2.0728
379,Bilston,1500.0,2.0,52.566,-2.0728
380,Bilston,1550.0,3.0,52.566,-2.0728
381,Bilston,1600.0,3.0,52.566,-2.0728
382,Bilston,1650.0,3.0,52.566,-2.0728
383,Bilston,1700.0,4.0,52.566,-2.0728
384,Bilston,1750.0,5.0,52.566,-2.0728
385,Bilston,1800.0,7.0,52.566,-2.0728
386,Bilston,1850.0,24.0,52.566,-2.0728
387,Bilston,1900.0,24.0,52.566,-2.0728
388,Bilston,1950.0,24.0,52.566,-2.0728
389,Bilston,2000.0,25.0,52.566,-2.0728
397,Birmingham,700.0,0.0,52.48,-1.9025
398,Birmingham,800.0,0.0,52.48,-1.9025
399,Birmingham,900.0,0.0,52.48,-1.9025
400,Birmingham,1000.0,0.0,52.48,-1.9025
401,Birmingham,1100.0,0.0,52.48,-1.9025
402,Birmingham,1200.0,1.0,52.48,-1.9025
403,Birmingham,1300.0,1.0,52.48,-1.9025
404,Birmingham,1400.0,1.0,52.48,-1.9025
405,Birmingham,1500.0,1.0,52.48,-1.9025
406,Birmingham,1550.0,1.0,52.48,-1.9025
407,Birmingham,1600.0,2.0,52.48,-1.9025
408,Birmingham,1650.0,4.0,52.48,-1.9025
409,Birmingham,1700.0,7.0,52.48,-1.9025
410,Birmingham,1750.0,24.0,52.48,-1.9025
411,Birmingham,1800.0,71.0,52.48,-1.9025
412,Birmingham,1850.0,233.0,52.48,-1.9025
413,Birmingham,1900.0,522.0,52.48,-1.9025
414,Birmingham,1950.0,1123.0,52.48,-1.9025
415,Birmingham,2000.0,977.0,52.48,-1.9025
433,Blackburn,700.0,0.0,53.748,-2.482
