city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,riverDist,portDist,roadDist
Barnsley,53.5537,-1.4791,0,0,1,1,1,1,1,1,1,1,2,4,13,,0,0,0,3,0,0,8.896174431,448.8817444,45.93199539,1776.18103,195.9651184,7255.129395,36.62069066,37.66936279,20.04170789
Bath,51.38,-2.36,1,1,2,2,1,2,2,2,3,3,10,33,54,1,0,0,0,15.5,1,0.5,19.18220139,1209.453491,67.21699524,4362.333984,202.3361969,14158.68066,109.5084463,19.12045132,9.631114878
Beverley,53.845,-0.427,1,2,2,2,1,2,2,2,3,3,4,6,9,0,0,0,0,2,1,0.5,22.11294937,823.8469238,65.29838562,2280.183594,218.9949036,7772.794434,74.23682201,14.50325372,12.91361054
Bilston,52.566,-2.0728,1,1,2,2,1,2,3,3,3,4,5,7,24,1,0,0.5,0,1.333333333,2,0.333333333,4.8772645,102.1567307,49.91252899,1530.227539,238.3713074,10248.95703,47.73572539,23.66781637,9.724824976
Birmingham,52.48,-1.9025,0,0,1,1,1,1,1,2,4,7,24,71,233,,0,0,1,34.5,0,6,5.818788052,194.8895569,71.84938812,2723.601807,262.546936,11793.36621,51.38412999,30.3325839,9.082677118
Blackburn,53.748,-2.482,0,1,1,1,1,1,2,2,1,1,4,12,47,0,0,1,0,5,1,-0.5,3.667413473,186.2007294,19.32275009,551.0325317,78.420578,2991.500732,74.88149987,16.03856342,12.28123532
Blackpool,53.8142,-3.0503,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,2.337548971,28.98386192,15.17016983,437.6717529,52.27148438,2008.366333,106.688806,6.986687801,26.91819143
Bolton,53.578,-2.429,0,1,1,1,1,1,1,2,2,2,1,13,61,0,0,0,1,5.5,0,1,1.252079844,7.797895908,16.15288162,434.2494812,81.16608429,3116.95459,75.57267177,25.4326863,8.745343671
Boston,52.974,-0.0214,1,2,4,7,6,2,2,2,3,4,5,6,15,2.5,-0.714285714,0,0,2,-0.666666667,1,8.306762695,268.6407776,61.94176483,2663.162842,254.2784729,10481.9502,73.03743696,0.600886256,21.05081654
Bournemouth,50.72,-1.88,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,4.459920883,231.2293701,31.69127083,1262.37439,130.4827728,7627.262207,123.783959,7.540178911,12.63983558
Brighton,50.8429,-0.1313,0,1,1,2,1,2,2,2,3,3,5,8,66,1,0,0,0,3,1,0.5,3.721058607,501.6392822,15.53571606,1085.450928,104.6262817,7119.007813,98.76457452,2.602945414,5.738226207
Bristol,51.45,-2.5833,1,2,3,11,10,10,11,12,15,20,50,64,137,4.5,-0.090909091,0.1,0.090909091,4.333333333,0.1,0.818181818,20.90020943,1129.149292,53.07543564,3537.770752,179.5700836,12622.58301,52.27846327,2.011501979,2.730166092
