STARTcounty,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,valordummy,mill,perc_catholics_1800,ind_share_1831
BEDFORDSHIRE,.66265059,0,0,,,0,0,0,.21686748
BEDFORDSHIRE,,0,0,,,0,0,,
BEDFORDSHIRE,.80000001,0,0,,,1,0,0,.1
BEDFORDSHIRE,.88785046,1,0,,,1,0,0,.037383176
BEDFORDSHIRE,.84848487,0,0,2,,0,0,0,.10606061
BEDFORDSHIRE,,0,0,,,1,0,,
BEDFORDSHIRE,.58895707,0,0,1,0,0,0,0,.20245399
BEDFORDSHIRE,.83333331,0,0,1,,0,0,0,.075000003
BEDFORDSHIRE,.75396824,2,0,,,1,0,0,.1984127
BEDFORDSHIRE,.84768212,2,0,,,1,0,0,.12582782
BEDFORDSHIRE,.89999998,2,0,,,1,0,0,.037500001
BEDFORDSHIRE,.66147858,1,0,,0,0,0,.00040160643,.26848248
BEDFORDSHIRE,.8340081,0,0,,,1,0,0,.10121457
BEDFORDSHIRE,.23149905,2,0,2,0,1,0,0,.42504743
BEDFORDSHIRE,.91803277,0,0,,,1,0,0,.032786883
BEDFORDSHIRE,.9375,0,0,,,1,0,0,0
BEDFORDSHIRE,.77659577,0,0,,,1,0,0,.11702128
BEDFORDSHIRE,.68303573,2,0,,1,1,0,0,.25
BEDFORDSHIRE,.77272725,1,0,,,0,0,0,.045454547
BEDFORDSHIRE,.72727275,0,0,,0,1,0,0,.20979021
BEDFORDSHIRE,.7027027,1,0,,,1,0,0,.1981982
BEDFORDSHIRE,.8611111,0,0,,,1,0,0,.069444448
BEDFORDSHIRE,.72000003,2,0,,,1,0,0,.13
BEDFORDSHIRE,.65079367,1,0,1,,1,0,0,.2857143
BEDFORDSHIRE,.8888889,0,0,,,1,0,0,0
BEDFORDSHIRE,,0,0,2,,1,0,,
BEDFORDSHIRE,,1,0,1,,0,0,,
BEDFORDSHIRE,,0,0,1,,0,0,,
BEDFORDSHIRE,.63157892,0,0,1,,0,0,0,.10526316
BEDFORDSHIRE,.38453916,4,0,1,1,1,0,0,.36273539
BEDFORDSHIRE,.77976191,0,0,1,,1,0,0,.10119048
BEDFORDSHIRE,.83333331,0,0,,0,1,0,0,.15555556
BEDFORDSHIRE,.62330621,0,0,,,1,0,0,.30894309
BEDFORDSHIRE,.80327868,1,0,,,1,0,0,.14754099
BEDFORDSHIRE,,0,0,,,1,0,,
BEDFORDSHIRE,.19522777,2,0,,1,1,0,0,.37960956
BEDFORDSHIRE,.76595747,0,0,,,0,0,0,.18617021
BEDFORDSHIRE,.91176468,0,0,,,0,0,0,.088235296
BEDFORDSHIRE,.4214876,0,0,,,1,0,0,.28925619
BEDFORDSHIRE,.72307694,1,0,8,,0,0,0,.21538462
BEDFORDSHIRE,.38431373,0,0,181,1,1,0,0,.351634
BEDFORDSHIRE,.78313255,1,0,5,,0,0,0,.096385539
BEDFORDSHIRE,.75728154,1,0,5,,1,0,0,.17475729
BEDFORDSHIRE,.82089549,1,0,3,,0,0,0,.11940298
BEDFORDSHIRE,.74336284,0,0,,,1,0,0,.13274336
BEDFORDSHIRE,.62612611,1,0,7,,0,0,0,.27927929
BEDFORDSHIRE,.74193549,0,0,,,1,0,0,.16935484
BEDFORDSHIRE,.89655173,0,0,,,1,0,0,.086206898
BEDFORDSHIRE,.83495146,0,0,,,1,0,0,.11650486
BEDFORDSHIRE,.42045453,0,0,,,1,0,0,.46590909
BEDFORDSHIRE,.89285713,0,0,,,0,0,0,.071428575
BEDFORDSHIRE,.89361703,0,0,,,0,0,0,.063829787
BEDFORDSHIRE,.50531918,3,0,,,1,0,0,.34042552
BEDFORDSHIRE,,0,0,,,0,0,,
BEDFORDSHIRE,.93506491,0,0,,,0,0,0,.038961038
BEDFORDSHIRE,.91176468,0,0,,,0,0,0,.088235296
BEDFORDSHIRE,.75968993,0,0,,,0,0,.0038986355,.20155039
BEDFORDSHIRE,.67512691,0,0,,,1,0,0,.23096447
BEDFORDSHIRE,.66666669,0,0,,,0,0,0,0
