STARTcounty,copyhold_count,market_1600,agr_share,ind_share,NrGentry,mills,mill,valordummy,perc_catholics_1800
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,0,
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,1,
BEDFORDSHIRE,,1,,,1,0,0,0,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,1,,,1,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,1,,,2,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,1,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,
BEDFORDSHIRE,,,,,1,0,0,0,
BEDFORDSHIRE,,,,,1,1,1,0,
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,1,,,1,2,1,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,1,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,,,,1,
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,0,
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,1,,,1,1,1,1,
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,0,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,0,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,0,
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,0,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,1,,,1,0,0,1,
BEDFORDSHIRE,,,,,,,,0,
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,,,,,,,0,
BEDFORDSHIRE,,1,,,,,,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,0,1,1,1,1
BEDFORDSHIRE,,,,,1,0,0,1,
BEDFORDSHIRE,,,,,1,0,0,1,
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,1,,,,,,1,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,1,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,0,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,1,1
BEDFORDSHIRE,,,,,1,0,0,1,1
BEDFORDSHIRE,,,,,,,,0,1
BEDFORDSHIRE,,1,,,1,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
BEDFORDSHIRE,,,,,0,0,0,1,1
