STARTcounty,area,pla,latitude,longitude,valordummy,LS_pc_change,pc_change1525_1086,pc_change1525_1066,pc_change1332_1086,pc_change1332_1066,pc_change1086_1066,cutoff1,cutoff2
BEDFORDSHIRE,6.836824,TILBROOK,507808.22,269909.22,-.69258142,-.40523645,-.16540518,-.05233968,-.19416927,-.19560397,-.072065465,4,4
BEDFORDSHIRE,6.8420555,LITTLE STAUGHTON,509984.72,262696.63,-.69258142,,,,,,,4,4
BEDFORDSHIRE,1.715261125,UPPER STONDON,514752.56,235484.81,1.443785,,,,,,,4,4
BEDFORDSHIRE,7.859703,MEPPERSHALL,514172.31,237045.52,1.443785,-.15931025,-.085733302,-.035482343,-.077627644,-.10109589,-.082469441,4,4
BEDFORDSHIRE,3.71983825,UPPER GRAVENHURST,511438.69,236209.97,-.69258142,,,,,,,4,4
BEDFORDSHIRE,3.0970839375,LOWER GRAVENHURST,510864.06,236365.78,1.443785,-.073510848,-.085090801,-.042370286,-.10944574,-.15890884,-.12547253,4,4
BEDFORDSHIRE,8.687208,SILSOE,508264.97,235341.66,-.69258142,.0084249284,-.1203149,-.040585898,-.16118605,-.16137064,-.058332231,4,4
BEDFORDSHIRE,4.3772075,FLITTON,505200.69,234984.25,-.69258142,,-.16540518,-.05233968,,,-.1315762,4,4
BEDFORDSHIRE,6.616989,PULLOXHILL,506479.19,233654.05,1.443785,-.40523645,-.16540518,-.05233968,-.13383228,-.18475294,-.15129572,4,4
BEDFORDSHIRE,8.730116000000001,FLITWICK,502923.47,234785.19,1.443785,-.40523645,-.16540518,-.05233968,-.1060831,-.18213178,-.15789825,4,4
BEDFORDSHIRE,5.242879,STEPPINGLEY,500953.19,235536.83,1.443785,,-.16540518,-.05233968,,,-.14073169,4,4
BEDFORDSHIRE,30.584932,EATON SOCON,514736.75,259148.19,-.69258142,-.40523645,-.16540518,-.05233968,-.13369349,-.13569087,-.061994419,4,4
BEDFORDSHIRE,8.917230999999999,EVERSHOLT,498628.03,233588.83,1.443785,-.1920038,-.13236019,-.047221672,-.14331762,-.16799708,-.11035209,4,4
BEDFORDSHIRE,13.75302,WOBURN,494992.22,232897.02,1.443785,-.27599445,-.13505699,-.048702065,-.11228107,-.16177353,-.12757066,4,4
BEDFORDSHIRE,5.1208545,POTSGROVE,494638.94,230401.88,1.443785,-.13288845,-.12970307,-.050468523,-.15260054,-.19372688,-.16073814,4,4
BEDFORDSHIRE,4.6470065,BATTLESDEN,496822.03,228303.78,1.443785,-.40523645,-.16540518,-.05233968,-.18274926,-.19356002,-.12237647,4,4
BEDFORDSHIRE,6.4958,MILTON BRYAN,497296.88,230425.45,1.443785,-.15299548,-.1469118,-.048896316,-.17505772,-.18354307,-.094954208,4,4
BEDFORDSHIRE,22.4636,TODDINGTON,501584.09,228343.41,1.443785,-.40523645,-.16540518,-.05233968,-.15027028,-.17209966,-.11021337,4,4
BEDFORDSHIRE,4.06793075,TINGRITH,500476.75,232333.27,-.69258142,-.28743282,-.1383207,-.05061445,-.11418763,-.18205039,-.15518774,4,4
BEDFORDSHIRE,7.02178265625,WESTONING,503426.03,232360.63,1.443785,-.17829235,,,,,,4,4
