STARTcounty,area,pla,agr_share_1831,latitude,longitude,valordummy,lLStax_pc,ind_share_1831,cutoff1,cutoff2
BEDFORDSHIRE,6.836824,TILBROOK,.66265059,507808.22,269909.22,0,0,.21686748,4,4
BEDFORDSHIRE,6.8420555,LITTLE STAUGHTON,,509984.72,262696.63,0,0,,4,4
BEDFORDSHIRE,1.715261125,UPPER STONDON,.80000001,514752.56,235484.81,1,0,.1,4,4
BEDFORDSHIRE,7.859703,MEPPERSHALL,.88785046,514172.31,237045.52,1,3.6506581,.037383176,4,4
BEDFORDSHIRE,3.71983825,UPPER GRAVENHURST,.84848487,511438.69,236209.97,0,3.2601187,.10606061,4,4
BEDFORDSHIRE,3.0970839375,LOWER GRAVENHURST,,510864.06,236365.78,1,3.9318256,,4,4
BEDFORDSHIRE,8.687208,SILSOE,.58895707,508264.97,235341.66,0,3.8035712,.20245399,4,4
BEDFORDSHIRE,4.3772075,FLITTON,.83333331,505200.69,234984.25,0,0,.075000003,4,4
BEDFORDSHIRE,6.616989,PULLOXHILL,.75396824,506479.19,233654.05,1,0,.1984127,4,4
BEDFORDSHIRE,8.730116000000001,FLITWICK,.84768212,502923.47,234785.19,1,0,.12582782,4,4
BEDFORDSHIRE,5.242879,STEPPINGLEY,.89999998,500953.19,235536.83,1,0,.037500001,4,4
BEDFORDSHIRE,30.584932,EATON SOCON,.66147858,514736.75,259148.19,0,0,.26848248,4,4
BEDFORDSHIRE,8.917230999999999,EVERSHOLT,.8340081,498628.03,233588.83,1,2.8464937,.10121457,4,4
BEDFORDSHIRE,13.75302,WOBURN,.23149905,494992.22,232897.02,1,2.9812129,.42504743,4,4
BEDFORDSHIRE,5.1208545,POTSGROVE,.91803277,494638.94,230401.88,1,3.2333164,.032786883,4,4
BEDFORDSHIRE,4.6470065,BATTLESDEN,.9375,496822.03,228303.78,1,0,0,4,4
BEDFORDSHIRE,6.4958,MILTON BRYAN,.77659577,497296.88,230425.45,1,2.7984607,.11702128,4,4
BEDFORDSHIRE,22.4636,TODDINGTON,.68303573,501584.09,228343.41,1,0,.25,4,4
BEDFORDSHIRE,4.06793075,TINGRITH,.77272725,500476.75,232333.27,0,2.8972921,.045454547,4,4
BEDFORDSHIRE,7.02178265625,WESTONING,.72727275,503426.03,232360.63,1,3.1949294,.20979021,4,4
BEDFORDSHIRE,7.80317875,HARLINGTON,.7027027,504270.06,231436.36,1,3.5274494,.1981982,4,4
BEDFORDSHIRE,10.049165,STREATLEY,.8611111,507227.88,228916.36,1,3.4965076,.069444448,4,4
BEDFORDSHIRE,9.383641000000001,COLMWORTH,.72000003,510554.47,257880.13,1,0,.13,4,4
BEDFORDSHIRE,9.395821,BARTON-LE-CLAY,.65079367,508556.69,230490.84,1,0,.2857143,4,4
BEDFORDSHIRE,5.238495125,HIGHAM GOBION,.8888889,509885.19,232874.97,1,4.8202815,0,4,4
BEDFORDSHIRE,12.2968305,LIMBURY AND BISCOT,,507385.28,224834.88,1,4.2865572,,4,4
BEDFORDSHIRE,17.407994,STOPSLEY,,510686.78,223595.14,0,0,,4,4
BEDFORDSHIRE,7.618908,EAST HYDE,,512610.19,219058.13,0,3.0903835,,4,4
BEDFORDSHIRE,9.988903000000001,WEST HYDE,.63157892,510730.88,218045.69,0,3.9095199,.10526316,4,4
BEDFORDSHIRE,10.235814,LUTON,.38453916,508622.16,221083.69,1,3.9638989,.36273539,4,4
BEDFORDSHIRE,4.4795395,LEAGRAVE,.77976191,505545.44,224060.03,1,2.8936343,.10119048,4,4
BEDFORDSHIRE,8.797801,SUNDON,.83333331,504859.97,227613.39,1,3.4085774,.15555556,4,4
BEDFORDSHIRE,6.4752865,CADDINGTON,.62330621,506549.94,220374.69,1,3.9272013,.30894309,4,4
BEDFORDSHIRE,9.221156000000001,BOLNHURST,.80327868,508069.75,258966.53,1,0,.14754099,4,4
BEDFORDSHIRE,1.089335625,HOUGHTON REGIS,,504592.09,216636.14,1,0,,4,4
BEDFORDSHIRE,1.866743875,DUNSTABLE,.19522777,501890.28,221653.34,1,0,.37960956,4,4
BEDFORDSHIRE,9.792752,CHALGRAVE,.76595747,499682,226660.06,0,3.9615548,.18617021,4,4
BEDFORDSHIRE,5.022093,TILSWORTH,.91176468,498126.69,224547.88,0,2.9375503,.088235296,4,4
BEDFORDSHIRE,4.132522,HOCKLIFFE,.4214876,496155.59,226955.52,1,0,.28925619,4,4
BEDFORDSHIRE,9.532265000000001,HEATH AND REACH,.72307694,493046.91,228600.92,0,0,.21538462,4,4
BEDFORDSHIRE,9.84061,LEIGHTON BUZZARD,.38431373,492627.88,225071.5,1,3.2491536,.351634,4,4
BEDFORDSHIRE,5.402489,EGGINGTON,.78313255,494974.53,225880.42,0,3.3562,.096385539,4,4
BEDFORDSHIRE,5.9785085,STANBRIDGE,.75728154,495819.38,223828.91,1,3.2976871,.17475729,4,4
BEDFORDSHIRE,4.8743065,BILLINGTON,.82089549,494009.59,222809.59,0,3.3447309,.11940298,4,4
BEDFORDSHIRE,13.894277,THURLEIGH,.74336284,505275.97,258319,1,3.1449018,.13274336,4,4
BEDFORDSHIRE,9.59637,EATON BRAY,.62612611,497878.38,220249.48,0,3.0417976,.27927929,4,4
BEDFORDSHIRE,9.425725999999999,TOTTERNHOE,.74193549,499060.44,221302.92,1,3.3560872,.16935484,4,4
BEDFORDSHIRE,3.7779065,WHIPSNADE,.89655173,501755.63,217873.25,1,3.4122472,.086206898,4,4
BEDFORDSHIRE,6.427053,STUDHAM,.83495146,501240.81,216738.55,1,2.9400434,.11650486,4,4
BEDFORDSHIRE,.631890625,HUMBERSHOE,.42045453,505512.69,216836.34,1,0,.46590909,4,4
BEDFORDSHIRE,4.597722,EDWORTH,.89285713,522424.03,241033.83,0,0,.071428575,4,4
BEDFORDSHIRE,9.132828,BLETSOE,.89361703,502594.19,259333.28,0,4.2693644,.063829787,4,4
BEDFORDSHIRE,9.613822000000001,SHARNBROOK,.50531918,499550.5,259960.45,1,0,.34042552,4,4
BEDFORDSHIRE,.1165851796875,COLWORTH,,497045.97,260346.3,0,0,,4,4
BEDFORDSHIRE,4.323311,SOULDROP,.93506491,497660.81,261499.42,0,0,.038961038,4,4
BEDFORDSHIRE,6.9971805,WYMINGTON,.91176468,495831.28,263929.59,0,2.5563657,.088235296,4,4
BEDFORDSHIRE,10.02837,HESWALL DEAN,.75968993,504983.34,268451.44,0,0,.20155039,4,4
BEDFORDSHIRE,21.239832,PODINGTON,.67512691,492201.69,266635.19,1,4.2850828,.23096447,4,4
