STARTcounty,area,pla,latitude,longitude,NrPatents,WheatYield,valordummy,enclosed,lLStax_pc,thresh_machines,cutoff1,cutoff2
BEDFORDSHIRE,6.836824,TILBROOK,507808.22,269909.22,0,,0,1,0,0,4,4
BEDFORDSHIRE,6.8420555,LITTLE STAUGHTON,509984.72,262696.63,0,,0,1,0,0,4,4
BEDFORDSHIRE,1.715261125,UPPER STONDON,514752.56,235484.81,0,,1,1,0,0,4,4
BEDFORDSHIRE,7.859703,MEPPERSHALL,514172.31,237045.52,0,,1,1,3.6506581,0,4,4
BEDFORDSHIRE,3.71983825,UPPER GRAVENHURST,511438.69,236209.97,0,,0,1,3.2601187,0,4,4
BEDFORDSHIRE,3.0970839375,LOWER GRAVENHURST,510864.06,236365.78,0,,1,1,3.9318256,0,4,4
BEDFORDSHIRE,8.687208,SILSOE,508264.97,235341.66,0,,0,1,3.8035712,0,4,4
BEDFORDSHIRE,4.3772075,FLITTON,505200.69,234984.25,0,,0,1,0,0,4,4
BEDFORDSHIRE,6.616989,PULLOXHILL,506479.19,233654.05,0,,1,1,0,0,4,4
BEDFORDSHIRE,8.730116000000001,FLITWICK,502923.47,234785.19,0,,1,1,0,0,4,4
BEDFORDSHIRE,5.242879,STEPPINGLEY,500953.19,235536.83,0,,1,1,0,0,4,4
BEDFORDSHIRE,30.584932,EATON SOCON,514736.75,259148.19,0,,0,1,0,0,4,4
BEDFORDSHIRE,8.917230999999999,EVERSHOLT,498628.03,233588.83,0,,1,1,2.8464937,0,4,4
BEDFORDSHIRE,13.75302,WOBURN,494992.22,232897.02,3,,1,0,2.9812129,0,4,4
BEDFORDSHIRE,5.1208545,POTSGROVE,494638.94,230401.88,0,,1,0,3.2333164,0,4,4
BEDFORDSHIRE,4.6470065,BATTLESDEN,496822.03,228303.78,0,,1,0,0,0,4,4
BEDFORDSHIRE,6.4958,MILTON BRYAN,497296.88,230425.45,0,,1,1,2.7984607,0,4,4
BEDFORDSHIRE,22.4636,TODDINGTON,501584.09,228343.41,0,,1,1,0,0,4,4
BEDFORDSHIRE,4.06793075,TINGRITH,500476.75,232333.27,0,24,0,0,2.8972921,0,4,4
BEDFORDSHIRE,7.02178265625,WESTONING,503426.03,232360.63,0,22,1,1,3.1949294,0,4,4
BEDFORDSHIRE,7.80317875,HARLINGTON,504270.06,231436.36,0,,1,1,3.5274494,0,4,4
BEDFORDSHIRE,10.049165,STREATLEY,507227.88,228916.36,0,,1,1,3.4965076,0,4,4
BEDFORDSHIRE,9.383641000000001,COLMWORTH,510554.47,257880.13,0,,1,1,0,0,4,4
BEDFORDSHIRE,9.395821,BARTON-LE-CLAY,508556.69,230490.84,0,,1,1,0,0,4,4
BEDFORDSHIRE,5.238495125,HIGHAM GOBION,509885.19,232874.97,0,24,1,0,4.8202815,0,4,4
BEDFORDSHIRE,12.2968305,LIMBURY AND BISCOT,507385.28,224834.88,0,,1,0,4.2865572,0,4,4
BEDFORDSHIRE,17.407994,STOPSLEY,510686.78,223595.14,0,,0,0,0,0,4,4
BEDFORDSHIRE,7.618908,EAST HYDE,512610.19,219058.13,0,,0,0,3.0903835,0,4,4
BEDFORDSHIRE,9.988903000000001,WEST HYDE,510730.88,218045.69,0,,0,0,3.9095199,0,4,4
BEDFORDSHIRE,10.235814,LUTON,508622.16,221083.69,0,,1,1,3.9638989,0,4,4
BEDFORDSHIRE,4.4795395,LEAGRAVE,505545.44,224060.03,0,,1,0,2.8936343,0,4,4
BEDFORDSHIRE,8.797801,SUNDON,504859.97,227613.39,0,,1,1,3.4085774,0,4,4
BEDFORDSHIRE,6.4752865,CADDINGTON,506549.94,220374.69,0,,1,1,3.9272013,0,4,4
BEDFORDSHIRE,9.221156000000001,BOLNHURST,508069.75,258966.53,0,,1,1,0,0,4,4
BEDFORDSHIRE,1.089335625,HOUGHTON REGIS,504592.09,216636.14,0,24,1,0,0,0,4,4
BEDFORDSHIRE,1.866743875,DUNSTABLE,501890.28,221653.34,0,24,1,0,0,0,4,4
BEDFORDSHIRE,9.792752,CHALGRAVE,499682,226660.06,0,,0,1,3.9615548,0,4,4
BEDFORDSHIRE,5.022093,TILSWORTH,498126.69,224547.88,0,,0,1,2.9375503,0,4,4
BEDFORDSHIRE,4.132522,HOCKLIFFE,496155.59,226955.52,0,,1,0,0,0,4,4
BEDFORDSHIRE,9.532265000000001,HEATH AND REACH,493046.91,228600.92,0,,0,1,0,0,4,4
BEDFORDSHIRE,9.84061,LEIGHTON BUZZARD,492627.88,225071.5,0,,1,1,3.2491536,0,4,4
BEDFORDSHIRE,5.402489,EGGINGTON,494974.53,225880.42,0,,0,1,3.3562,0,4,4
BEDFORDSHIRE,5.9785085,STANBRIDGE,495819.38,223828.91,0,,1,1,3.2976871,0,4,4
BEDFORDSHIRE,4.8743065,BILLINGTON,494009.59,222809.59,0,,0,1,3.3447309,0,4,4
BEDFORDSHIRE,13.894277,THURLEIGH,505275.97,258319,0,,1,1,3.1449018,0,4,4
BEDFORDSHIRE,9.59637,EATON BRAY,497878.38,220249.48,0,,0,1,3.0417976,0,4,4
BEDFORDSHIRE,9.425725999999999,TOTTERNHOE,499060.44,221302.92,0,20,1,1,3.3560872,0,4,4
BEDFORDSHIRE,3.7779065,WHIPSNADE,501755.63,217873.25,0,,1,1,3.4122472,0,4,4
BEDFORDSHIRE,6.427053,STUDHAM,501240.81,216738.55,0,,1,0,2.9400434,0,4,4
BEDFORDSHIRE,.631890625,HUMBERSHOE,505512.69,216836.34,0,,1,0,0,0,4,4
BEDFORDSHIRE,4.597722,EDWORTH,522424.03,241033.83,0,22,0,0,0,0,4,4
BEDFORDSHIRE,9.132828,BLETSOE,502594.19,259333.28,0,24,0,0,4.2693644,0,4,4
BEDFORDSHIRE,9.613822000000001,SHARNBROOK,499550.5,259960.45,0,,1,1,0,0,4,4
