STARTcounty,area,pla,NrGentry,latitude,longitude,valordummy,mill,lLStax_pc,perc_catholics_1800,cutoff1,cutoff2
BEDFORDSHIRE,6.836824,TILBROOK,0,507808.22,269909.22,0,0,0,0,4,4
BEDFORDSHIRE,6.8420555,LITTLE STAUGHTON,0,509984.72,262696.63,0,0,0,,4,4
BEDFORDSHIRE,1.715261125,UPPER STONDON,0,514752.56,235484.81,1,0,0,0,4,4
BEDFORDSHIRE,7.859703,MEPPERSHALL,1,514172.31,237045.52,1,0,3.6506581,0,4,4
BEDFORDSHIRE,3.71983825,UPPER GRAVENHURST,0,511438.69,236209.97,0,0,3.2601187,0,4,4
BEDFORDSHIRE,3.0970839375,LOWER GRAVENHURST,0,510864.06,236365.78,1,0,3.9318256,,4,4
BEDFORDSHIRE,8.687208,SILSOE,0,508264.97,235341.66,0,0,3.8035712,0,4,4
BEDFORDSHIRE,4.3772075,FLITTON,0,505200.69,234984.25,0,0,0,0,4,4
BEDFORDSHIRE,6.616989,PULLOXHILL,2,506479.19,233654.05,1,0,0,0,4,4
BEDFORDSHIRE,8.730116000000001,FLITWICK,2,502923.47,234785.19,1,0,0,0,4,4
BEDFORDSHIRE,5.242879,STEPPINGLEY,2,500953.19,235536.83,1,0,0,0,4,4
BEDFORDSHIRE,30.584932,EATON SOCON,1,514736.75,259148.19,0,0,0,.00040160643,4,4
BEDFORDSHIRE,8.917230999999999,EVERSHOLT,0,498628.03,233588.83,1,0,2.8464937,0,4,4
BEDFORDSHIRE,13.75302,WOBURN,2,494992.22,232897.02,1,0,2.9812129,0,4,4
BEDFORDSHIRE,5.1208545,POTSGROVE,0,494638.94,230401.88,1,0,3.2333164,0,4,4
BEDFORDSHIRE,4.6470065,BATTLESDEN,0,496822.03,228303.78,1,0,0,0,4,4
BEDFORDSHIRE,6.4958,MILTON BRYAN,0,497296.88,230425.45,1,0,2.7984607,0,4,4
BEDFORDSHIRE,22.4636,TODDINGTON,2,501584.09,228343.41,1,0,0,0,4,4
BEDFORDSHIRE,4.06793075,TINGRITH,1,500476.75,232333.27,0,0,2.8972921,0,4,4
BEDFORDSHIRE,7.02178265625,WESTONING,0,503426.03,232360.63,1,0,3.1949294,0,4,4
BEDFORDSHIRE,7.80317875,HARLINGTON,1,504270.06,231436.36,1,0,3.5274494,0,4,4
BEDFORDSHIRE,10.049165,STREATLEY,0,507227.88,228916.36,1,0,3.4965076,0,4,4
BEDFORDSHIRE,9.383641000000001,COLMWORTH,2,510554.47,257880.13,1,0,0,0,4,4
BEDFORDSHIRE,9.395821,BARTON-LE-CLAY,1,508556.69,230490.84,1,0,0,0,4,4
BEDFORDSHIRE,5.238495125,HIGHAM GOBION,0,509885.19,232874.97,1,0,4.8202815,0,4,4
BEDFORDSHIRE,12.2968305,LIMBURY AND BISCOT,0,507385.28,224834.88,1,0,4.2865572,,4,4
