STARTcounty,hundred,area,pla,agr_share_1831,NrGentry,mills,fivemilegrid_id,tenmilegrid_id,copyhold_count_1850,market_1600,valordummy,mill,lLStax_pc,perc_catholics_1800,ind_share_1831,North_South,East_West
BEDFORDSHIRE,STODDEN,6.836824,TILBROOK,.66265059,0,0,5379,1338,,,0,0,0,0,.21686748,0,1
BEDFORDSHIRE,STODDEN,6.8420555,LITTLE STAUGHTON,,0,0,5276,1338,,,0,0,0,,,0,1
BEDFORDSHIRE,CLIFTON,1.715261125,UPPER STONDON,.80000001,0,0,4653,1183,,,1,0,0,0,.1,0,1
BEDFORDSHIRE,CLIFTON,7.859703,MEPPERSHALL,.88785046,1,0,4756,1182,,,1,0,3.6506581,0,.037383176,0,1
BEDFORDSHIRE,FLITT,3.71983825,UPPER GRAVENHURST,.84848487,0,0,4652,1182,2,,0,0,3.2601187,0,.10606061,0,1
BEDFORDSHIRE,FLITT,3.0970839375,LOWER GRAVENHURST,,0,0,4652,1182,,,1,0,3.9318256,,,0,1
BEDFORDSHIRE,FLITT,8.687208,SILSOE,.58895707,0,0,4651,1182,1,0,0,0,3.8035712,0,.20245399,0,1
BEDFORDSHIRE,FLITT,4.3772075,FLITTON,.83333331,0,0,4651,1182,1,,0,0,0,0,.075000003,0,1
BEDFORDSHIRE,FLITT,6.616989,PULLOXHILL,.75396824,2,0,4651,1182,,,1,0,0,0,.1984127,0,1
BEDFORDSHIRE,REDBORNESTOKE,8.730116000000001,FLITWICK,.84768212,2,0,4650,1181,,,1,0,0,0,.12582782,0,1
BEDFORDSHIRE,REDBORNESTOKE,5.242879,STEPPINGLEY,.89999998,2,0,4650,1181,,,1,0,0,0,.037500001,0,1
BEDFORDSHIRE,BARFORD,30.584932,EATON SOCON,.66147858,1,0,5173,1287,,0,0,0,0,.00040160643,.26848248,0,1
BEDFORDSHIRE,MANSHEAD,8.917230999999999,EVERSHOLT,.8340081,0,0,4649,1181,,,1,0,2.8464937,0,.10121457,0,1
BEDFORDSHIRE,MANSHEAD,13.75302,WOBURN,.23149905,2,0,4649,1181,2,0,1,0,2.9812129,0,.42504743,0,1
BEDFORDSHIRE,MANSHEAD,5.1208545,POTSGROVE,.91803277,0,0,4545,1129,,,1,0,3.2333164,0,.032786883,0,1
BEDFORDSHIRE,MANSHEAD,4.6470065,BATTLESDEN,.9375,0,0,4545,1129,,,1,0,0,0,0,0,1
BEDFORDSHIRE,MANSHEAD,6.4958,MILTON BRYAN,.77659577,0,0,4545,1129,,,1,0,2.7984607,0,.11702128,0,1
BEDFORDSHIRE,MANSHEAD,22.4636,TODDINGTON,.68303573,2,0,4546,1129,,1,1,0,0,0,.25,0,1
BEDFORDSHIRE,MANSHEAD,4.06793075,TINGRITH,.77272725,1,0,4650,1181,,,0,0,2.8972921,0,.045454547,0,1
BEDFORDSHIRE,MANSHEAD,7.02178265625,WESTONING,.72727275,0,0,4650,1181,,0,1,0,3.1949294,0,.20979021,0,1
BEDFORDSHIRE,MANSHEAD,7.80317875,HARLINGTON,.7027027,1,0,4650,1181,,,1,0,3.5274494,0,.1981982,0,1
BEDFORDSHIRE,FLITT,10.049165,STREATLEY,.8611111,0,0,4547,1130,,,1,0,3.4965076,0,.069444448,0,1
BEDFORDSHIRE,BARFORD,9.383641000000001,COLMWORTH,.72000003,2,0,5172,1286,,,1,0,0,0,.13,0,1
BEDFORDSHIRE,FLITT,9.395821,BARTON-LE-CLAY,.65079367,1,0,4547,1130,1,,1,0,0,0,.2857143,0,1
