STARTcounty,area,pla,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,mill,lMincome,lLStax_pc,perc_catholics_1800,ind_share_1831
BEDFORDSHIRE,6.8368240000,TILBROOK,0.6626505900,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2168674800
BEDFORDSHIRE,6.8420555000,LITTLE STAUGHTON,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,1.7152611250,UPPER STONDON,0.8000000100,0.0000000000,0.0000000000,,,0.0000000000,0.5877866700,0.0000000000,0.0000000000,0.1000000000
BEDFORDSHIRE,7.8597030000,MEPPERSHALL,0.8878504600,1.0000000000,0.0000000000,,,0.0000000000,1.4663371000,3.6506581000,0.0000000000,0.0373831760
BEDFORDSHIRE,3.7198382500,UPPER GRAVENHURST,0.8484848700,0.0000000000,0.0000000000,2.0000000000,,0.0000000000,0.0000000000,3.2601187000,0.0000000000,0.1060606100
BEDFORDSHIRE,3.0970839375,LOWER GRAVENHURST,,0.0000000000,0.0000000000,,,0.0000000000,1.0986123000,3.9318256000,,
BEDFORDSHIRE,8.6872080000,SILSOE,0.5889570700,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,3.8035712000,0.0000000000,0.2024539900
BEDFORDSHIRE,4.3772075000,FLITTON,0.8333333100,0.0000000000,0.0000000000,1.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0750000030
BEDFORDSHIRE,6.6169890000,PULLOXHILL,0.7539682400,2.0000000000,0.0000000000,,,0.0000000000,3.0348527000,0.0000000000,0.0000000000,0.1984127000
BEDFORDSHIRE,8.730116000000001,FLITWICK,0.8476821200,2.0000000000,0.0000000000,,,0.0000000000,1.0761395000,0.0000000000,0.0000000000,0.1258278200
BEDFORDSHIRE,5.2428790000,STEPPINGLEY,0.8999999800,2.0000000000,0.0000000000,,,0.0000000000,2.0137913000,0.0000000000,0.0000000000,0.0375000010
BEDFORDSHIRE,30.5849320000,EATON SOCON,0.6614785800,1.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004016064,0.2684824800
BEDFORDSHIRE,8.917230999999999,EVERSHOLT,0.8340081000,0.0000000000,0.0000000000,,,0.0000000000,3.4899201000,2.8464937000,0.0000000000,0.1012145700
BEDFORDSHIRE,13.7530200000,WOBURN,0.2314990500,2.0000000000,0.0000000000,2.0000000000,0.0000000000,0.0000000000,4.0968413000,2.9812129000,0.0000000000,0.4250474300
BEDFORDSHIRE,5.1208545000,POTSGROVE,0.9180327700,0.0000000000,0.0000000000,,,0.0000000000,2.7013612000,3.2333164000,0.0000000000,0.0327868830
BEDFORDSHIRE,4.6470065000,BATTLESDEN,0.9375000000,0.0000000000,0.0000000000,,,0.0000000000,1.0176432000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,6.4958000000,MILTON BRYAN,0.7765957700,0.0000000000,0.0000000000,,,0.0000000000,3.3838251000,2.7984607000,0.0000000000,0.1170212800
BEDFORDSHIRE,22.4636000000,TODDINGTON,0.6830357300,2.0000000000,0.0000000000,,1.0000000000,0.0000000000,2.0535893000,0.0000000000,0.0000000000,0.2500000000
BEDFORDSHIRE,4.0679307500,TINGRITH,0.7727272500,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,2.8972921000,0.0000000000,0.0454545470
BEDFORDSHIRE,7.0217826563,WESTONING,0.7272727500,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,1.3821189000,3.1949294000,0.0000000000,0.2097902100
BEDFORDSHIRE,7.8031787500,HARLINGTON,0.7027027000,1.0000000000,0.0000000000,,,0.0000000000,2.5649493000,3.5274494000,0.0000000000,0.1981982000
BEDFORDSHIRE,10.0491650000,STREATLEY,0.8611111000,0.0000000000,0.0000000000,,,0.0000000000,2.7725887000,3.4965076000,0.0000000000,0.0694444480
BEDFORDSHIRE,9.383641000000001,COLMWORTH,0.7200000300,2.0000000000,0.0000000000,,,0.0000000000,0.4123067300,0.0000000000,0.0000000000,0.1300000000
BEDFORDSHIRE,9.3958210000,BARTON-LE-CLAY,0.6507936700,1.0000000000,0.0000000000,1.0000000000,,0.0000000000,4.1161876000,0.0000000000,0.0000000000,0.2857143000
BEDFORDSHIRE,5.2384951250,HIGHAM GOBION,0.8888889000,0.0000000000,0.0000000000,,,0.0000000000,0.6931471800,4.8202815000,0.0000000000,0.0000000000
BEDFORDSHIRE,12.2968305000,LIMBURY AND BISCOT,,0.0000000000,0.0000000000,2.0000000000,,0.0000000000,2.3978953000,4.2865572000,,
BEDFORDSHIRE,17.4079940000,STOPSLEY,,1.0000000000,0.0000000000,1.0000000000,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,7.6189080000,EAST HYDE,,0.0000000000,0.0000000000,1.0000000000,,0.0000000000,0.0000000000,3.0903835000,,
BEDFORDSHIRE,9.988903000000001,WEST HYDE,0.6315789200,0.0000000000,0.0000000000,1.0000000000,,0.0000000000,0.0000000000,3.9095199000,0.0000000000,0.1052631600
BEDFORDSHIRE,10.2358140000,LUTON,0.3845391600,4.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,2.8141603000,3.9638989000,0.0000000000,0.3627353900
BEDFORDSHIRE,4.4795395000,LEAGRAVE,0.7797619100,0.0000000000,0.0000000000,1.0000000000,,0.0000000000,0.7827593700,2.8936343000,0.0000000000,0.1011904800
BEDFORDSHIRE,8.7978010000,SUNDON,0.8333333100,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,2.8716795000,3.4085774000,0.0000000000,0.1555555600
BEDFORDSHIRE,6.4752865000,CADDINGTON,0.6233062100,0.0000000000,0.0000000000,,,0.0000000000,3.1251144000,3.9272013000,0.0000000000,0.3089430900
BEDFORDSHIRE,9.221156000000001,BOLNHURST,0.8032786800,1.0000000000,0.0000000000,,,0.0000000000,0.2231435500,0.0000000000,0.0000000000,0.1475409900
BEDFORDSHIRE,1.0893356250,HOUGHTON REGIS,,0.0000000000,0.0000000000,,,0.0000000000,3.0929346000,0.0000000000,,
BEDFORDSHIRE,1.8667438750,DUNSTABLE,0.1952277700,2.0000000000,0.0000000000,,1.0000000000,0.0000000000,4.6903534000,0.0000000000,0.0000000000,0.3796095600
BEDFORDSHIRE,9.7927520000,CHALGRAVE,0.7659574700,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,3.9615548000,0.0000000000,0.1861702100
BEDFORDSHIRE,5.0220930000,TILSWORTH,0.9117646800,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,2.9375503000,0.0000000000,0.0882352960
BEDFORDSHIRE,4.1325220000,HOCKLIFFE,0.4214876000,0.0000000000,0.0000000000,,,0.0000000000,1.7520943000,0.0000000000,0.0000000000,0.2892561900
BEDFORDSHIRE,9.532265000000001,HEATH AND REACH,0.7230769400,1.0000000000,0.0000000000,8.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2153846200
BEDFORDSHIRE,9.8406100000,LEIGHTON BUZZARD,0.3843137300,0.0000000000,0.0000000000,181.0000000000,1.0000000000,0.0000000000,4.9767337000,3.2491536000,0.0000000000,0.3516340000
BEDFORDSHIRE,5.4024890000,EGGINGTON,0.7831325500,1.0000000000,0.0000000000,5.0000000000,,0.0000000000,0.0000000000,3.3562000000,0.0000000000,0.0963855390
BEDFORDSHIRE,5.9785085000,STANBRIDGE,0.7572815400,1.0000000000,0.0000000000,5.0000000000,,0.0000000000,1.6094379000,3.2976871000,0.0000000000,0.1747572900
BEDFORDSHIRE,4.8743065000,BILLINGTON,0.8208954900,1.0000000000,0.0000000000,3.0000000000,,0.0000000000,0.0000000000,3.3447309000,0.0000000000,0.1194029800
BEDFORDSHIRE,13.8942770000,THURLEIGH,0.7433628400,0.0000000000,0.0000000000,,,0.0000000000,1.7917595000,3.1449018000,0.0000000000,0.1327433600
BEDFORDSHIRE,9.5963700000,EATON BRAY,0.6261261100,1.0000000000,0.0000000000,7.0000000000,,0.0000000000,0.0000000000,3.0417976000,0.0000000000,0.2792792900
BEDFORDSHIRE,9.425725999999999,TOTTERNHOE,0.7419354900,0.0000000000,0.0000000000,,,0.0000000000,1.0176432000,3.3560872000,0.0000000000,0.1693548400
BEDFORDSHIRE,3.7779065000,WHIPSNADE,0.8965517300,0.0000000000,0.0000000000,,,0.0000000000,0.0723206620,3.4122472000,0.0000000000,0.0862068980
BEDFORDSHIRE,6.4270530000,STUDHAM,0.8349514600,0.0000000000,0.0000000000,,,0.0000000000,2.5533438000,2.9400434000,0.0000000000,0.1165048600
BEDFORDSHIRE,0.6318906250,HUMBERSHOE,0.4204545300,0.0000000000,0.0000000000,,,0.0000000000,0.9619012500,0.0000000000,0.0000000000,0.4659090900
BEDFORDSHIRE,4.5977220000,EDWORTH,0.8928571300,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0714285750
BEDFORDSHIRE,9.1328280000,BLETSOE,0.8936170300,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,4.2693644000,0.0000000000,0.0638297870
BEDFORDSHIRE,9.613822000000001,SHARNBROOK,0.5053191800,3.0000000000,0.0000000000,,,0.0000000000,2.6912432000,0.0000000000,0.0000000000,0.3404255200
BEDFORDSHIRE,0.1165851797,COLWORTH,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,4.3233110000,SOULDROP,0.9350649100,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0389610380
BEDFORDSHIRE,6.9971805000,WYMINGTON,0.9117646800,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,2.5563657000,0.0000000000,0.0882352960
BEDFORDSHIRE,10.0283700000,HESWALL DEAN,0.7596899300,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0038986355,0.2015503900
BEDFORDSHIRE,21.2398320000,PODINGTON,0.6751269100,0.0000000000,0.0000000000,,,0.0000000000,0.1823215600,4.2850828000,0.0000000000,0.2309644700
BEDFORDSHIRE,3.8499217500,FARNDISH,0.6666666900,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,11.4752680000,ODELL,,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.4700036300,2.9582746000,,
BEDFORDSHIRE,12.8827750000,HARROLD,0.4250000100,0.0000000000,0.0000000000,,,0.0000000000,0.9808292400,3.8223100000,0.0010050251,0.3928571300
BEDFORDSHIRE,6.0948955000,CARLTON,0.6116504700,1.0000000000,0.0000000000,,,0.0000000000,1.1605433000,3.0236013000,0.0023584906,0.2815533900
BEDFORDSHIRE,2.1873917500,CHELLINGTON,,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,4.0163832000,,
BEDFORDSHIRE,8.0219305000,FELMERSHAM,0.8888889000,1.0000000000,0.0000000000,2.0000000000,,0.0000000000,0.0000000000,3.2580965000,0.0000000000,0.0740740750
BEDFORDSHIRE,5.7530170000,PAVENHAM,0.8646616300,0.0000000000,0.0000000000,2.0000000000,,0.0000000000,0.0000000000,3.7356267000,0.0000000000,0.1127819600
BEDFORDSHIRE,7.3134400000,STEVINGTON,0.6611570100,0.0000000000,0.0000000000,6.0000000000,,0.0000000000,2.6473560000,4.0861917000,0.0000000000,0.1818181900
BEDFORDSHIRE,16.2052080000,TURVEY,0.6492890700,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,4.2835865000,0.0293522270,0.2796208600
BEDFORDSHIRE,3.8276487500,SHELTON,0.7142857300,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0857142880
BEDFORDSHIRE,13.9161670000,STAGSDEN,0.7777777900,0.0000000000,0.0000000000,,,0.0000000000,1.0818051000,3.3502119000,0.0000000000,0.0625000000
BEDFORDSHIRE,7.4900295000,BROMHAM,0.8292682800,0.0000000000,0.0000000000,,,0.0000000000,0.7158052300,3.4616516000,0.0000000000,0.0975609720
BEDFORDSHIRE,7.2366195000,OAKLEY,0.5447154600,1.0000000000,0.0000000000,,,0.0000000000,0.9619012500,0.0000000000,0.0000000000,0.2601625900
BEDFORDSHIRE,6.5202315000,MILTON ERNEST,0.9468085200,1.0000000000,0.0000000000,,,0.0000000000,2.3608539000,0.0000000000,0.0000000000,0.0531914900
BEDFORDSHIRE,8.172307500000001,CLAPHAM,0.8450704200,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1126760500
BEDFORDSHIRE,9.388913000000001,RAVENSDEN,0.8857142900,1.0000000000,0.0000000000,,,0.0000000000,2.7697201000,0.0000000000,0.0000000000,0.0285714290
BEDFORDSHIRE,9.2569640000,WILDEN,0.8061224200,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1122449000
BEDFORDSHIRE,12.0164520000,ROXTON,0.7555555700,0.0000000000,0.0000000000,,,0.0000000000,0.3169374500,0.0000000000,0.0015313936,0.1460317500
BEDFORDSHIRE,4.8020040000,LITTLE BARFORD,1.0000000000,0.0000000000,0.0000000000,,,0.0000000000,2.8176517000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,9.516764999999999,TEMPSFORD,0.6178861900,1.0000000000,0.0000000000,,,0.0000000000,3.2834144000,0.0000000000,0.0000000000,0.2439024400
BEDFORDSHIRE,7.8448440000,YELDEN,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,4.7756660000,BLUNHAM,0.5099337700,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,3.2580965000,0.0000000000,0.0000000000,0.3112582900
BEDFORDSHIRE,7.4149705000,MOGGERHANGER,0.6470588400,0.0000000000,0.0000000000,1.0000000000,,0.0000000000,3.2733641000,0.0000000000,0.0000000000,0.1515837200
BEDFORDSHIRE,11.4714230000,GREAT BARFORD,,0.0000000000,0.0000000000,,,0.0000000000,0.5306282600,0.0000000000,,
BEDFORDSHIRE,9.0227340000,RENHOLD,0.7500000000,0.0000000000,0.0000000000,,,0.0000000000,2.5282810000,0.0000000000,0.0000000000,0.1127451000
BEDFORDSHIRE,10.4619120000,GOLDINGTON,0.6940298700,2.0000000000,0.0000000000,,,0.0000000000,4.1783962000,0.0000000000,0.0000000000,0.2089552300
BEDFORDSHIRE,1.2442331250,"BEDFORD, ST CUTHBERT",0.1779141100,4.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4539877200
BEDFORDSHIRE,2.2465357500,"BEDFORD, ST PETER",0.0849056620,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4245283000
BEDFORDSHIRE,0.1279605469,"BEDFORD, ST PAUL",0.0907216520,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0007583418,0.5865979200
BEDFORDSHIRE,3.1279540000,"BEDFORD, ST PAUL",,0.0000000000,0.0000000000,,1.0000000000,0.0000000000,1.4768585000,0.0000000000,,
BEDFORDSHIRE,0.2141837031,"BEDFORD, ST MARY",,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,1.8312226250,"BEDFORD, ST MARY",0.0000000000,0.0000000000,0.0000000000,,,0.0000000000,4.0906572000,0.0000000000,0.0000000000,0.4838709500
BEDFORDSHIRE,0.1821399844,"BEDFORD, ST JOHN",0.1652173800,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5826087000
BEDFORDSHIRE,0.0139144766,"BEDFORD, ST JOHN",,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,,
BEDFORDSHIRE,10.7043710000,MELCHBOURNE,0.7142857300,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,2.7392259000,0.0000000000,0.0000000000,0.0476190490
BEDFORDSHIRE,6.5406805000,BIDDENHAM,0.8651685100,0.0000000000,0.0000000000,,,0.0000000000,2.6943457000,0.0000000000,0.0000000000,0.0786516890
BEDFORDSHIRE,20.2994500000,KEMPSTON,0.5669515700,4.0000000000,0.0000000000,2.0000000000,,0.0000000000,1.6486586000,3.0647252000,0.0000000000,0.2136752200
BEDFORDSHIRE,15.3351230000,WOOTTON,0.5596708100,0.0000000000,0.0000000000,,,0.0000000000,2.4359863000,0.0000000000,0.0000000000,0.1934156400
BEDFORDSHIRE,6.5890435000,ELSTOW,0.7323943400,2.0000000000,0.0000000000,,0.0000000000,0.0000000000,4.2682977000,0.0000000000,0.0000000000,0.1126760500
BEDFORDSHIRE,10.1121120000,CARDINGTON,0.7285714100,1.0000000000,0.0000000000,,,0.0000000000,2.3532255000,0.0000000000,0.0000000000,0.2571428700
BEDFORDSHIRE,11.4552480000,EASTCOTTS,0.8079470400,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1854304700
BEDFORDSHIRE,8.599411999999999,COPLE,0.6805555800,2.0000000000,0.0000000000,,,0.0000000000,2.6390574000,0.0000000000,0.0000000000,0.1597222200
BEDFORDSHIRE,6.6892725000,WILLINGTON,0.7882353100,0.0000000000,0.0000000000,,,0.0000000000,0.0165293030,0.0000000000,0.0000000000,0.0823529440
BEDFORDSHIRE,15.2827880000,SANDY,,1.0000000000,0.0000000000,1.0000000000,,0.0000000000,1.9459101000,0.0000000000,,
BEDFORDSHIRE,2.2212725000,BEESTON,,1.0000000000,0.0000000000,4.0000000000,,0.0000000000,3.2628927000,0.0000000000,,
BEDFORDSHIRE,7.0970165000,KNOTTING,1.0000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,5.5403570000,EVERTON,0.8245614200,1.0000000000,0.0000000000,,0.0000000000,0.0000000000,1.1746727000,0.0000000000,0.0000000000,0.0877192990
BEDFORDSHIRE,10.8611040000,POTTON,0.5000000000,2.0000000000,0.0000000000,,1.0000000000,0.0000000000,1.0986123000,0.0000000000,0.0011312218,0.3756097600
BEDFORDSHIRE,8.997820000000001,SUTTON,0.9576271200,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0181347150,0.0169491530
BEDFORDSHIRE,4.8300095000,COCKAYNE HATLEY,0.7777777900,0.0000000000,0.0000000000,,,0.0000000000,0.0408219960,0.0000000000,0.0000000000,0.0370370370
BEDFORDSHIRE,6.8357715000,WRESTLINGWORTH,0.7906976900,0.0000000000,0.0000000000,,,0.0000000000,2.1972246000,0.0000000000,0.0000000000,0.1007752000
BEDFORDSHIRE,5.0721440000,EYEWORTH,0.9756097800,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,10.6310860000,DUNTON,0.8318584000,0.0000000000,0.0000000000,,,0.0000000000,1.2669476000,0.0000000000,0.0000000000,0.0884955750
BEDFORDSHIRE,18.6945280000,BIGGLESWADE,0.2991689700,2.0000000000,0.0000000000,,,0.0000000000,4.3122520000,0.0000000000,0.0021698698,0.2880886500
BEDFORDSHIRE,11.0417730000,NORTHILL,0.9004739500,1.0000000000,0.0000000000,,,0.0000000000,4.0042982000,0.0000000000,0.0000000000,0.0710900500
BEDFORDSHIRE,5.6922910000,THORNCOTE,0.9253731400,1.0000000000,0.0000000000,,,0.0000000000,0.1823215600,0.0000000000,0.0000000000,0.0149253730
BEDFORDSHIRE,13.6709360000,OLD WARDEN,0.6794871700,0.0000000000,0.0000000000,,1.0000000000,0.0000000000,3.9093528000,0.0000000000,0.0000000000,0.0833333360
BEDFORDSHIRE,12.5598810000,RISELEY,0.5502645400,0.0000000000,0.0000000000,,,0.0000000000,0.0800427120,0.0000000000,0.0000000000,0.3333333400
BEDFORDSHIRE,10.4506790000,HAYNES,0.8039215800,0.0000000000,0.0000000000,,,0.0000000000,2.3639936000,2.7863820000,0.0000000000,0.1111111100
BEDFORDSHIRE,12.7795350000,WILSTEAD,0.8281250000,3.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1458333300
BEDFORDSHIRE,17.4256020000,MARSTON MORETAINE,0.8023256100,1.0000000000,0.0000000000,,0.0000000000,0.0000000000,3.0214407000,0.0000000000,0.0000000000,0.1046511600
BEDFORDSHIRE,16.0017680000,CRANFIELD,0.6300000000,2.0000000000,0.0000000000,,,0.0000000000,4.2422857000,0.0000000000,0.0000000000,0.2433333400
BEDFORDSHIRE,3.5128510000,SALFORD,0.7624999900,0.0000000000,0.0000000000,,,0.0000000000,3.8737152000,3.4978242000,0.0676470620,0.1875000000
BEDFORDSHIRE,3.5558452500,HOLCOT,0.9375000000,0.0000000000,0.0000000000,,,0.0000000000,1.5404451000,3.7297015000,0.0000000000,0.0000000000
BEDFORDSHIRE,7.5019955000,ASPLEY GUISE,0.4573991000,0.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,3.7781105000,0.0000000000,0.3811659200
BEDFORDSHIRE,6.4195720000,HUSBORNE CRAWLEY,0.6073619700,0.0000000000,0.0000000000,,,0.0000000000,2.4831691000,2.7797744000,0.0000000000,0.2269938600
BEDFORDSHIRE,9.220715999999999,RIDGMONT,0.6951566900,2.0000000000,0.0000000000,,,0.0000000000,3.0949175000,0.0000000000,0.0000000000,0.1823361800
BEDFORDSHIRE,14.3867795938,KEYSOE,0.7592592800,0.0000000000,0.0000000000,,,0.0000000000,2.7278528000,0.0000000000,0.0000000000,0.0987654330
BEDFORDSHIRE,10.3042500000,LIDLINGTON,0.7386363700,0.0000000000,0.0000000000,,,0.0000000000,0.0246926140,0.0000000000,0.0000000000,0.1988636400
BEDFORDSHIRE,7.1884660000,MILLBROOK,0.8914728800,1.0000000000,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0930232550
BEDFORDSHIRE,7.6309180000,AMPTHILL,0.3576826200,3.0000000000,0.0000000000,,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0005924171,0.5289672600
BEDFORDSHIRE,10.5162230000,MAULDEN,0.6389891500,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2310469300
BEDFORDSHIRE,9.730437999999999,CLOPHILL,0.5983606600,0.0000000000,0.0000000000,4.0000000000,0.0000000000,0.0000000000,0.7259370100,3.2251718000,0.0000000000,0.1926229400
BEDFORDSHIRE,3.8897625000,CAMPTON,0.7614678700,2.0000000000,0.0000000000,,0.0000000000,0.0000000000,2.2335923000,0.0000000000,0.0489977710,0.1651376200
BEDFORDSHIRE,0.6356952500,SHEFFORD,0.1428571500,2.0000000000,0.0000000000,,1.0000000000,0.0000000000,4.0676370000,0.0000000000,0.0288335510,0.5714286000
BEDFORDSHIRE,1.5145723750,SHEFFORD HARDWICK,0.5000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,5.8153730000,CHICKSANDS,0.7647059000,0.0000000000,0.0000000000,,,0.0000000000,3.3704517000,0.0000000000,0.0000000000,0.0000000000
BEDFORDSHIRE,10.8096030000,SOUTHILL,0.6242774700,3.0000000000,0.0000000000,,0.0000000000,0.0000000000,4.0018635000,0.0000000000,0.0000000000,0.0867052000
BEDFORDSHIRE,7.5499531250,PERTENHALL,0.7108433800,0.0000000000,0.0000000000,,,0.0000000000,0.0800427120,0.0000000000,0.0000000000,0.1204819300
BEDFORDSHIRE,1.3593870000,STANFORDBURY,,0.0000000000,0.0000000000,,,0.0000000000,2.3978953000,0.0000000000,,
BEDFORDSHIRE,5.7657750000,STANFORD,0.6703296900,1.0000000000,0.0000000000,,,0.0000000000,1.4190842000,0.0000000000,0.0000000000,0.1428571500
BEDFORDSHIRE,5.3083060000,BROOM,0.7662337400,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1818181900
BEDFORDSHIRE,5.7567345000,CLIFTON,0.6711409700,2.0000000000,0.0000000000,,,0.0000000000,0.9162907600,0.0000000000,0.0030120481,0.2885906100
BEDFORDSHIRE,9.6072670000,HENLOW,0.6851851900,2.0000000000,0.0000000000,,,0.0000000000,3.7875929000,0.0000000000,0.0000000000,0.2222222200
BEDFORDSHIRE,8.396508000000001,LANGFORD,0.8404908200,0.0000000000,0.0000000000,,,0.0000000000,2.7456670000,0.0000000000,0.0000000000,0.1472392700
