name,selected,diocese,town,order,typeHouse,members,year,latitude,longitude,mother hou,nickAdd,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,region,founded,originalFoundation,foundedSource,ID
Modney Priory,1.0,,Hilgay,Benedictine,,Monks,1539,52.540623,0.368985,Ramsey Abbey,,2.0,0.693147181,3,1,0,0,1,0,1.139927877,0,0.0,NORFOLK,1,1291.0,,"https://www.british-history.ac.uk/vch/norf/vol2/p349, ""before 1291""",1
Mullicourt Priory,1.0,,,Benedictine,,Monks,1539,52.602291,0.260744,Ely,,6.0,1.791759469,3,1,0,0,1,0,1.156123871,0,0.0,NORFOLK,1,1000.0,,"https://www.british-history.ac.uk/vch/norf/vol2/pp349-350, says pre-Norman",2
Norman's Burrow,1.0,,,Benedictine,Cluniac,,1537,52.780502,0.800833,Castle Acre,,6.0,1.791759469,1,1,0,0,1,0,1.567996553,0,0.0,NORFOLK,1,1160.0,,https://www.british-history.ac.uk/vch/norf/vol2/pp358-359,3
Weybridge Priory,1.0,,,Augustinian,,Canons,1536,52.647759,1.568062,,,7.0,1.945910149,0,1,0,0,1,0,2.034118441,0,0.0,NORFOLK,1,1265.0,,"https://www.british-history.ac.uk/vch/norf/vol2/pp406-407 ""towards close of reign of Henry III""",4
"St Mary's, Coddenham Priory",,,Coddenham,Augustinian,,Canons,1537,52.144531,1.113362,Royston Priory,,8.0,2.079441542,1,1,0,0,1,0,1.385326044,0,0.0,SUFFOLK,1,,,,5
St Ives Priory,,,St Ives,Benedictine,,Monks,1539,52.322199,-0.073325,Ramsey Abbey,,9.0,2.197224577,3,1,0,0,1,0,0.813432244,0,0.0,HUNTINGDONSHIRE,1,,,,6
Sudbury Cathedral,,,Sudbury,Benedictine,,Monks,1538,52.051992,0.727327,Westminister Abbey,,9.0,2.197224577,2,1,0,0,1,0,1.004242073,0,0.0,SUFFOLK,1,,,,7
Marmont Priory,1.0,,Upwell,Gilbertine,,Canons,1538,52.588554,0.20402,,,10.0,2.302585093,2,0,1,0,1,0,1.125628724,0,0.0,CAMBRIDGESHIRE,1,1204.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp258-259,8
"St Edmund's Priory, Cambridge",1.0,,Cambridge,Gilbertine,,Canons,1539,52.175011,0.138846,,,14.0,2.63905733,3,0,1,0,1,0,0.712924173,0,0.0,CAMBRIDGESHIRE,1,1291.0,,https://www.british-history.ac.uk/vch/cambs/vol2/pp254-256,9
Hinchingbrooke,,,,Benedictine,,Nuns,1536,52.3286,-0.2014,,,17.0,2.833213344,0,1,0,0,1,0,0.822827351,1,17.0,HUNTINGDONSHIRE,1,,,,10
Hoxne Priory,1.0,,Hoxne,Benedictine,,Monks,1538,52.342,1.203,Norwich Cathedral,,18.0,2.890371758,2,1,0,0,1,0,1.561258854,0,0.0,SUFFOLK,1,962.0,,"https://www.british-history.ac.uk/vch/suff/vol2/pp76-77#fnn6 mentioned in a will at this date, no refoundation",11
Flixton Priory,,,Flixton,Augustinian,,Canonesses,1536,52.4262,1.4041,,,23.0,3.135494216,0,1,0,0,1,0,1.776658459,1,23.0,SUFFOLK,1,,,,12
Aldeby Priory,,,Aldeby,Benedictine,,Monks,1538,52.482984,1.607129,Norwich Cathedral,,25.0,3.218875825,2,1,0,0,1,0,1.980684974,0,0.0,NORFOLK,1,,,,13
