county,countyVal1291,countyVal1334,countyVal1514,countyVal1515,countyVal1535,area
BEDFORDSHIRE,2057,10017,28080,24000,5097,298.5
BERKSHIRE,3667,14688,44000,41140,8576,467.2
BUCKINGHAMSHIRE,3033,10079,33040,33480,6201,473.1
CAMBRIDGESHIRE,6032,14802,41520,36120,7822,549.7
CORNWALL,1527,6683,43320,44200,5262,869.2
DERBYSHIRE,2294,6753,14880,12320,4361,658.9
DEVON,3823,13100,147120,112160,16813,1663.4
DORSET,3755,12241,47440,45560,8853,632.6
ESSEX,6052,18275,88800,100720,15046,987
GLOUCESTERSHIRE,4527,22115,86440,73640,11177,789.2
HAMPSHIRE,8762,18927,73080,69920,12859,1042
HEREFORDSHIRE,3362,6154,20840,16360,3774,425.8
HERTFORDSHIRE,2975,9069,35480,36800,6501,469
HUNTINGDONSHIRE,2464,6466,24560,21040,3545,234.2
KENT,9838,24348,93720,100080,16444,995.3
LANCASHIRE,2218,5592,11320,4560,4201,1203
LEICESTERSHIRE,4546,10979,37280,32280,6413,527.1
"LINCOLNSHIRE, HOLLAND",2327,9984,17120,14480,2892,215.1
"LINCOLNSHIRE, KESTEVEN",3739,14168,23360,21680,4251,510.2
"LINCOLNSHIRE, LINDSEY",10902,21908,45960,44120,10359,968.1
LINCOLNSHIRE,16968,46060,86440,80280,17502,1693.4
MIDDLESEX,2613,16249,218760,204480,13848,181.3
NORFOLK,10094,50828,112360,112520,14707,1309
NORTHAMPTONSHIRE,4584,16914,55760,47360,9424,642
NOTTINGHAMSHIRE,4826,10096,24960,17360,5204,539.7
OXFORDSHIRE,4061,20121,40720,35160,7559,476.6
RUTLAND,852,3053,6840,6000,1031,97.3
SHROPSHIRE,2082,9039,20680,11800,3693,760.6
SOMERSET,7622,20160,117080,109360,17291,1046
STAFFORDSHIRE,2191,8212,23080,16360,4421,752.7
SUFFOLK,10115,20920,97680,86160,11040,952.7
SURREY,2845,8378,47680,45640,6111,485.1
SUSSEX,6949,16186,49800,52000,9281,930.6
WARWICKSHIRE,2531,12243,40840,34560,6245,578.1
WILTSHIRE,7169,23065,92200,76120,11919,880.5
WORCESTERSHIRE,2749,7198,35640,25040,7081,463.1
"YORKSHIRE, EAST RIDING",5230,16764,24720,18880,7744,754.3
"YORKSHIRE, NORTH RIDING",5524,9557,16400,11000,7116,1360
"YORKSHIRE, WEST RIDING",6470,11487,34680,20080,10583,1769
