id_1,id_2,id_3,obs_num,linked,year,county_city,parish,township,area,arable_area,pasture_area,meadow_area,garden_area,orchard_area,wood_area,ozier_area,hops_area,fen_area,marsh_area,houses,cottages,barns,farm_buildings,rent,rent_type,tenantes,lease_yrs,fine,annual_rent,price,burdens,return_pct,net_price,tenure,tithe_share,tithe_amount,land_tax_share,rent_valuation,annual_rental_value,annual_rental_value_tithe_free,share_clear_of_deductions,repair_payer,tithe_payer,rate_payer,local_rates,land_tax_payer,land_tax_amount,drainage_tax_payer,drainage_tax_amount,commons_area,lammas_area,commons_arable_area,commons_pasture_area,commons_meadow_area,commons_waste_area,beast_gates,sheep_gates,unspecified_common_rights,last_enclosure,enclosure_type,commons_unspecified_area,enclosed_common_area,enclosed_common_waste_area,parish_allotment,source,fccr_vol,fccr_page,county_city,parish_township,charity,notes,,,
280,72,1,0,L,1394,NF,GRIMSTONE,,63.9,,,,,,0,0,0,0,0,6,0,,,4.72,V,,,,4.72,,,5,,,,,,,4.72,,0,,,,,,,,,59.9,0,,,,0,0,0,0,1780,O,0,0,0,,CCI,28,72,NF,GRIMSTONE,TALMAN,area DIG,,,
170,584,3,0,L,1502,WA,ROWINGTON,,9.42,,,,,,0,0,0,0,0,0,0,0,N,0.33,C,1,,,0.33,,,5,,,,,,,0.33,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,17,584,,,,,,,
170,585,1,0,L,1502,WA,PRESTON BAGOT,,5.21,,,,,,0,0,0,0,0,0,0,0,N,0.33,C,1,,,0.33,,,5,,,1,,,,0.33,,0,,T,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,17,585,,,,,,,
170,585,2,0,L,1502,WA,LAPWORTH,,31.52,,,,,,0,0,0,0,0,0,0,0,N,1,C,1,,,1,,,5,,,,,,,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,17,585,,,,,,,
170,585,3,0,L,1502,WA,ROWINGTON,,3.01,,,,,,0,0,0,0,0,0,0,0,N,0.2,C,1,,,0.2,,,5,,,,,,,0.2,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,17,585,,,,,,,
170,589,1,0,L,1502,WA,ROWINGTON,,2.98,,,,,,0,0,0,0,0,0,0,0,N,0.2,C,1,,,0.2,,,5,,,,,,,0.2,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,17,589,,,,,,,
310,171,1,0,L,1502,CA,SOHAM,,13.75,11.75,0,2,0,0,0,0,0,0,0,0,0,0,N,1,V,,,,1,,,5,,,,,,,1,,0,,,,,,,,,13.75,0,11.75,0,2,0,0,0,0,,,0,0,0,,CCI,31,171,CA,SOHAM,BOND,,,,
310,171,2,0,L,1502,CA,SOHAM,,6.39,,,,,,0,0,0,0,0,0,0,0,N,1,V,,,,1,,,5,,,,,,,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,31,171,CA,SOHAM,BOND,,,,
310,171,3,0,L,1502,CA,SOHAM,,2,,,,,,0,0,0,0,0,0,0,0,N,0.33,V,,,,0.33,,,5,,,,,,,0.33,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,31,171,CA,SOHAM,BOND,,,,
210,153,2,0,L,1512,GL,MICKLETON,,50,,,,,,0,0,0,0,0,2,0,,,7,V,,,,7,,,5,,,,,,,7,,0,,,,,,,,,49,0,,,,0,0,0,0,1613,O,0,0,0,,CCI,21,153,GL,MICKLETON,PORTER,,,,
31,164,1,0,L,1518,EX,"COLCHESTER, ALL OTHER",,50.69,,,,,,0,0,0,0,0,,,,,3.67,C,,,,3.67,,,5,,,,,,,3.67,,0,,,,,,,,,29.43,29.43,,,,0,0,0,0,1817,O,0,0,0,,CCI,3.1,164,,,,29/1/29 lammas land until 1817,,,
31,164,2,0,L,1518,CA,BARTON,,160.04,160.04,0,0,0,0,0,0,0,0,0,3,0,,Y,8.23,C,,,,8.23,,,5,,,,,,,8.23,,0,,,,,,,,,160.04,0,160.04,0,0,0,0,0,0,,,0,0,0,,CCI,3.1,164,,,,mostly common field,,,
31,165,1,0,,1518,MX,"STEPNEY, ST DUNSTAN",,4,,,,,,0,0,0,0,0,0,0,0,N,0.25,C,1,,,0.25,,,5,,,,,,,0.25,,0,,,,,,,,,,0,,,,0,0,0,0,,,,,,,CCI,3.1,165,,,,,,,
31,165,2,0,,1518,MX,"STEPNEY, ST DUNSTAN",,8,,,,,,0,0,0,0,0,0,0,0,N,0.8,C,1,,,0.8,,,5,,,,,,,0.8,,0,,,,,,,,,,0,,,,0,0,0,0,,,,,,,CCI,3.1,165,,,,,,,
31,165,3,0,,1518,MX,"STEPNEY, ST DUNSTAN",,9,0,9,0,0,0,0,0,0,0,0,0,0,0,N,1.5,C,1,,,1.5,,,5,,,,,,,1.5,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,3.1,165,,,,,,,
300,135,4,0,L,1521,DO,WEST KNIGHTON,,233.29,,,,,,0,0,0,0,0,,,,,,,,,,,200,,5,200,F,,,,,10,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,30,135,DO,MILTON ABBAS,SCHOOL,,,,
310,87,1,0,L,1523,CA,OVER,,30.61,28.73,0,0.58,0,0,0,0,0,0,1.31,1,0,0,N,,,,,,,20,,5,20,F,1,,,,1,,0,,,,,,,,,30.61,0,28.73,0,0.58,0,0,0,0,,,0,0,0,,CCI,31,87,CA,COTTENHAM,CHURCH AND CAUSEWAY,"open field measure (23.5 ac in Westwick = 13/0/14, 29.25 ac in Over = ? (assumed",,,
20,161,1,0,L,1525,SX,LAUGHTON,,116,,,,,,0,0,0,0,0,0,0,0,N,,,,,,,100,,5,100,F,,,,,5,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,2,161,SX,CUCKFIELD,FREE SCHOOL,AVE AREA CCI2 AND CCI30,,,
