name,order,landIncMean,titheIncMean,millIncMean,feeIncMean,almsIncMean,infraIncMean,transferIncMean,courtIncMean,annuityIncMean,educationIncMean,synProxIncMean,glebeIncMean,woodIncMean,unknownIncMean,landExpMean,titheExpMean,millExpMean,feeExpMean,almsExpMean,infraExpMean,transferExpMean,courtExpMean,annuityExpMean,educationExpMean,synProxExpMean,glebeExpMean,woodExpMean,unknownExpMean,year,region,totalInc,totalExp,netInc,depHouse,latitude,longitude,incomplete,landIncSum,titheIncSum,millIncSum,feeIncSum,almsIncSum,infraIncSum,transferIncSum,courtIncSum,annuityIncSum,educationIncSum,synProxIncSum,glebeIncSum,woodIncSum,unknownIncSum,landExpSum,titheExpSum,millExpSum,feeExpSum,almsExpSum,infraExpSum,transferExpSum,courtExpSum,annuityExpSum,educationExpSum,synProxExpSum,glebeExpSum,woodExpSum,unknownExpSum
Abingdon Abbey,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538.0,2.0,,,450369.0,,51.670872,-1.277557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alnwick Abbey,Premonstratensian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,5.0,,,45540.0,,55.41985,-1.71914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amesbury Priory,Benedictine,1765.4444444444443,6599.5,,,,,,240.0,,,,,,1971.2,-480.0,,,-330.5,,,,,,,-54.75,,,,1539.0,3.0,,,16044.5,,51.174037,-1.785074,0.0,15889.0,6599.5,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,9856.0,-480.0,0.0,0.0,-1322.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.5,0.0,0.0,0.0
Anglesey Priory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.0,1.0,,,29988.0,,52.237,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansty Preceptory,Augustinian,21621.5,,,,,,,,,,,,,,,,,-640.0,,,-800.0,,,,,,,,1540.0,3.0,21621.5,-2080.0,19541.5,,51.036495,-2.063967,0.0,21621.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1280.0,0.0,0.0,-800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arden Priory,Benedictine,401.0,,,,,,,,,,,,,,-9.0,,,-160.0,-120.0,,-24.0,,,,,,,,1536.0,5.0,3208.0,-322.0,2886.0,,54.310171,-1.203185,0.0,3208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,-160.0,-120.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armathwaite Nunnery,Benedictine,1573.0,1440.0,,,,,,,,,,,,,-12.0,,,,,,-1280.0,,,,-30.0,,,,1537.0,5.0,4586.0,,3264.0,,54.778725,-2.721439,0.0,3146.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,-1280.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0
Athelney Abbey,Benedictine,3882.640625,1589.0,,,320.0,,1046.0,350.0,,,,,,176.0,-50.95454545454545,,,-424.61538461538464,-811.5,,-865.75,,-600.0,,-185.25,,,-26.666666666666668,1540.0,3.0,,,50163.25,,51.0593,-2.93458,0.0,62122.25,3178.0,0.0,0.0,320.0,0.0,2092.0,1400.0,0.0,0.0,0.0,0.0,0.0,880.0,-1121.0,0.0,0.0,-5520.0,-6492.0,0.0,-5194.5,0.0,-600.0,0.0,-370.5,0.0,0.0,-80.0
Axholme Charterhouse,Carthusian,1058.5657894736842,8145.5,,,,,745.3333333333334,,,,,,,23050.5,-374.5,,-27.0,-466.6666666666667,-276.0,,-1450.4,,,,-84.0,,,,1538.0,4.0,69775.75,-12713.0,57062.75,,53.5075,-0.7861,0.0,20112.75,24436.5,0.0,0.0,0.0,0.0,2236.0,0.0,0.0,0.0,0.0,0.0,0.0,23050.5,-2247.0,0.0,-54.0,-2800.0,-276.0,0.0,-7252.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0
Aylesbury Friary,Franciscan,1052.0,,,,,,,,,,,,,,-151.5,,,,,,,,,,,,,,1538.0,2.0,1052.0,-303.0,749.0,1.0,51.815217,-0.814867,0.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
