Lord,Relation/Title,Location,Location Category,County,Latitude,Longitude,ac_loyal,re_loyal,neutral,re_rebel,ac_rebel,Reported Land Value/Income (1535),Source
Henry Percy,6th Earl,Alnwick Castle,Strategic Castle,Northumberland,55.4158,-1.7061,0,1,0,0,0,£4000 (Gross),L&P Henry VIII; Peerage Records
Sir Thomas Percy,Brother,Wressle Castle,Strategic Castle,Yorkshire,53.7758,-0.9258,0,0,0,0,1,Percy Fee,State Papers; Percy Chronicles
Sir Ingelram Percy,Brother,Prudhoe Castle,Strategic Castle,Northumberland,54.9653,-1.8623,0,0,0,0,1,Percy Fee,L&P Henry VIII; Border Papers
Ralph Neville,4th Earl,Raby Castle,Primary Country Seat,Durham,54.5912,-1.8020,0,1,0,0,0,Core Durham Estate,Inquisitions Post Mortem; V.E. 1535
John Neville,3rd Baron Latimer,Snape Castle,Primary Country Seat,Yorkshire,54.2545,-1.5993,0,0,0,1,0,£105 p.a.,V.E. 1535; VCH Yorkshire
Henry Clifford,1st Earl,Skipton Castle,Primary Country Seat,Yorkshire,53.9622,-2.0151,1,0,0,0,0,£1821 Total,L&P Henry VIII; VCH Yorkshire
Sir Thomas Clifford,Brother,Berwick Castle,Strategic Castle,Northumberland,55.7725,-2.0125,1,0,0,0,0,Crown Appointment,L&P Henry VIII; Border Records
Edward Stanley,3rd Earl,Lathom House,Primary Country Seat,Lancashire,53.5855,-2.8252,1,0,0,0,0,£102 (Net tax),Lay Subsidy 1524; L&P Henry VIII
Thomas Stanley,Cousin/Monteagle,Hornby Castle,Strategic Castle,Lancashire,54.1105,-2.6335,1,0,0,0,0,Monteagle Fee,VCH Lancashire; Peerage Records
George Talbot,4th Earl,Sheffield Castle,Primary Country Seat,Yorkshire,53.3853,-1.4625,1,0,0,0,0,Main residence,L&P Henry VIII; Talbot Papers
Francis Talbot,Son/Lord Talbot,Sheffield Manor,Primary Country Seat,Yorkshire,53.3756,-1.4328,1,0,0,0,0,Talbot Fee,VCH Yorkshire; Talbot Papers
Thomas Manners,1st Earl,Helmsley Castle,Primary Country Seat,Yorkshire,54.2446,-1.0642,1,0,0,0,0,de Ros inheritance,V.E. 1535; VCH Yorkshire
Thomas Darcy,1st Baron,Templehurst,Primary Country Seat,Yorkshire,53.7191,-1.0967,0,0,0,0,1,£3768 Total Income,L&P Henry VIII; Inquisitions Post Mortem
Sir George Darcy,Son,Temple Newsham,Primary Country Seat,Yorkshire,53.7847,-1.4553,1,0,0,0,0,Darcy Fee,L&P Henry VIII; Darcy Estate Records
Sir Arthur Darcy,Son,Langcliffe,Ancillary Land,Yorkshire,54.0847,-2.2691,1,0,0,0,0,£27 8s. 4d.,VCH Yorkshire; L&P Henry VIII
William Dacre,3rd Baron,Naworth Castle,Primary Country Seat,Cumberland,54.9547,-2.6917,1,0,0,0,0,£10000 Royal Fine,L&P Henry VIII; Inquisitions Post Mortem
Sir Christopher Dacre,Uncle,Carlisle,Strategic Castle,Cumberland,54.8972,-2.9421,1,0,0,0,0,Dacre Fee,L&P Henry VIII; Border Surveys
John Scrope,8th Baron,Bolton Castle,Primary Country Seat,Yorkshire,54.3219,-1.9481,0,0,0,1,0,£50 6s. 4d. fee,VCH Yorkshire; L&P Henry VIII
William Conyers,1st Baron,Hornby Castle,Primary Country Seat,Yorkshire,54.3390,-1.6530,1,0,0,0,0,Strategic Barony,VCH Yorkshire; L&P Henry VIII
John Lumley,4th Baron,Lumley Castle,Primary Country Seat,Durham,54.8547,-1.5529,0,0,0,0,1,Durham Lordship,VCH Durham; L&P Henry VIII
Henry FitzRoy,Duke of Richmond,Sheriff Hutton Castle,Strategic Castle,Yorkshire,54.0863,-1.0069,0,0,1,0,0,Council Seat,L&P Henry VIII; V.E. 1535
