monastery_name,lat,lon,crown_interference,leadership_opposition,rankfile_opposition,any_opposition,source
Bridgend Priory,52.9109,-0.3009,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Hirst,53.582697,-0.826335,0.0,0.0,0.0,0,VCH Lincs II. Small Augustinian.
Fosse Priory,53.3,-0.74,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Grimsby Nunnery,53.552098,-0.093124,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Orford Priory,53.433521,-0.217152,0.0,0.0,0.0,0,VCH Lincs II. Premonstratensian.
Torksey Priory,53.300891,-0.744771,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Thwaite,53.205634,0.191998,0.0,0.0,0.0,0,VCH Lincs II. Small Augustinian.
Gokewell Priory,53.580653,-0.58043,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
St Mary Magdalene's Priory,53.229954,-0.519876,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
"St Leonard's Priory, Stamford",52.6541,-0.4656,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Humberston Abbey,53.53406,-0.02596,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Catley Priory,53.085461,-0.33148,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Maltby Preceptory,53.340617,-0.036859,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Legbourne Priory,53.33744,0.040035,0.0,0.0,0.0,0,"VCH Lincs II pp. 153-155. Prioress's letter addresses Cromwell as 'Founder' and pledges submission — compliance/supplication, not opposition."
"Newstead Priory, Lincolnshire",52.65828,-0.454248,0.0,0.0,0.0,0,VCH Lincs II. Augustinian.
Newstead-on-Ancholme Priory,53.5271,-0.49351,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Nocton Priory,53.169158,-0.389858,0.0,0.0,0.0,0,VCH Lincs II. Dissolved 1536 under first Act.
Nun Cotham Priory,53.58464,-0.254778,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Heynings Priory,53.3575,-0.72963,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Greenfield Priory,53.27918,0.147045,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Elsham Priory,53.599297,-0.436729,0.0,0.0,0.0,0,VCH Lincs II. Augustinian.
Haverholme Priory,53.030543,-0.349397,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Newbo Abbey,52.931795,-0.719068,0.0,0.0,0.0,0,VCH Lincs II. Premonstratensian.
North Ormsby Priory,53.419008,-0.06488,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Hagneby Abbey,53.302012,0.22581,0.0,0.0,0.0,0,VCH Lincs II. Premonstratensian.
Wellow Abbey,53.559843,-0.085385,0.0,0.0,0.0,0,VCH Lincs II. Augustinian.
Newsham Abbey,53.603399,-0.296314,0.0,0.0,0.0,0,VCH Lincs II. Premonstratensian.
Tupholme Abbey,53.199,-0.288,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Kyme Priory,53.032601,-0.258822,0.0,0.0,0.0,0,VCH Lincs II. Augustinian.
Thornholme Priory,53.600232,-0.542681,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Stixwould Priory Cistercians,53.178692,-0.247281,0.0,0.0,0.0,0,VCH Lincs II pp. 146-149. Jan 1537 petition for re-foundation is post-window and pro-Crown (Henry becomes re-founder by letters patent 9 Jul 1537).
Eagle Preceptory,53.18182,-0.70635,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Vaudey Abbey,52.782222,-0.464444,0.0,0.0,0.0,0,VCH Lincs II. Cistercian.
Alvingham Priory,53.40175,0.05614,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; Holgate mastership ≠ per-house interference. No opposition.
Markby Priory,53.285303,0.229726,0.0,0.0,0.0,0,VCH Lincs II. Augustinian.
Sixhills Priory,53.369763,-0.253018,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Louth Park Abbey,53.37657,0.027,0.0,0.0,0.0,0,VCH Lincs II pp. 138-141. Abbey dissolved 8 Sept 1536 under First Act; 'no complaint is recorded against the monks.' Ex-monk Moreland joined rising 1 Oct only after hearing alarm bell.
Stixwould Priory Benedictines,53.178692,-0.247281,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Bullington Priory,53.275422,-0.351087,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Stixwould Priory Premonstratensians,53.178692,-0.247281,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Bourne Abbey,52.766322,-0.375556,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Freiston Priory,52.9739,0.0506,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Swineshead Abbey,52.947804,-0.141782,0.0,0.0,0.0,0,VCH Lincs II. No evidence.
Willoughton Preceptory,53.4269,-0.6053,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Temple Bruer Preceptory,53.071064,-0.496158,0.0,0.0,0.0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
St Catherine's Priory,53.214181,-0.547219,0.0,0.0,0.0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
