monastery_name,crown_interference,leadership_opposition,rankfile_opposition,any_opposition,source
Bridgend Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Hirst,0,0,0,0,VCH Lincs II. Small Augustinian.
Fosse Priory,0,0,0,0,VCH Lincs II. No evidence.
Grimsby Nunnery,0,0,0,0,VCH Lincs II. No evidence.
Orford Priory,0,0,0,0,VCH Lincs II. Premonstratensian.
Torksey Priory,0,0,0,0,VCH Lincs II. No evidence.
Thwaite,0,0,0,0,VCH Lincs II. Small Augustinian.
Gokewell Priory,0,0,0,0,VCH Lincs II. No evidence.
St Mary Magdalene's Priory,0,0,0,0,VCH Lincs II. No evidence.
"St Leonard's Priory, Stamford",0,0,0,0,VCH Lincs II. No evidence.
Humberston Abbey,0,0,0,0,VCH Lincs II. No evidence.
Catley Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Maltby Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Legbourne Priory,0,0,0,0,"VCH Lincs II pp. 153-155. Prioress's letter addresses Cromwell as 'Founder' and pledges submission — compliance/supplication, not opposition."
"Newstead Priory, Lincolnshire",0,0,0,0,VCH Lincs II. Augustinian.
Newstead-on-Ancholme Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Nocton Priory,0,0,0,0,VCH Lincs II. Dissolved 1536 under first Act.
Nun Cotham Priory,0,0,0,0,VCH Lincs II. No evidence.
Heynings Priory,0,0,0,0,VCH Lincs II. No evidence.
Greenfield Priory,0,0,0,0,VCH Lincs II. No evidence.
Elsham Priory,0,0,0,0,VCH Lincs II. Augustinian.
Haverholme Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Newbo Abbey,0,0,0,0,VCH Lincs II. Premonstratensian.
North Ormsby Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Hagneby Abbey,0,0,0,0,VCH Lincs II. Premonstratensian.
Wellow Abbey,0,0,0,0,VCH Lincs II. Augustinian.
Newsham Abbey,0,0,0,0,VCH Lincs II. Premonstratensian.
Tupholme Abbey,0,0,0,0,VCH Lincs II. No evidence.
Kyme Priory,0,0,0,0,VCH Lincs II. Augustinian.
Thornholme Priory,0,0,0,0,VCH Lincs II. No evidence.
Stixwould Priory Cistercians,0,0,0,0,VCH Lincs II pp. 146-149. Jan 1537 petition for re-foundation is post-window and pro-Crown (Henry becomes re-founder by letters patent 9 Jul 1537).
Eagle Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Vaudey Abbey,0,0,0,0,VCH Lincs II. Cistercian.
Alvingham Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; Holgate mastership ≠ per-house interference. No opposition.
Markby Priory,0,0,0,0,VCH Lincs II. Augustinian.
Sixhills Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Louth Park Abbey,0,0,0,0,VCH Lincs II pp. 138-141. Abbey dissolved 8 Sept 1536 under First Act; 'no complaint is recorded against the monks.' Ex-monk Moreland joined rising 1 Oct only after hearing alarm bell.
Stixwould Priory Benedictines,0,0,0,0,VCH Lincs II. No evidence.
Bullington Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Stixwould Priory Premonstratensians,0,0,0,0,VCH Lincs II. No evidence.
Bourne Abbey,0,0,0,0,VCH Lincs II. No evidence.
Freiston Priory,0,0,0,0,VCH Lincs II. No evidence.
Swineshead Abbey,0,0,0,0,VCH Lincs II. No evidence.
Willoughton Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
Temple Bruer Preceptory,0,0,0,0,Preceptors appointed by Knights Hospitaller; Crown interference N/A. No pre-Pilgrimage opposition documented.
St Catherine's Priory,0,0,0,0,VCH Lincs II. Gilbertine daughter house; no per-house interference. No opposition.
Axholme Charterhouse,0,1,0,1,Knowles III; ODNB 'Webster'. Prior Augustine Webster refused Oath; executed Tyburn 4 May 1535. Gold-standard leadership opposition. No independent R&F evidence beyond Webster.
Barlings Abbey,0,0,0,0,VCH Lincs II pp. 202-205. Abbot Mackerell executed post-Rising; all hostility evidence from Tower examinations after 1 Oct 1536. Pre-Oct: compliance.
Kirkstead Abbey,0,0,0,0,VCH Lincs II pp. 135-138. Abbot Harrison executed; VCH calls implication 'probably unjustly' made. All evidence retrospective from Rising trials. Pre-Oct: compliance.
Revesby Abbey,0,0,0,0,"VCH Lincs II pp. 141-143. Monks 'seen with insurgents' during the Rising itself, not before. Pre-Oct: no evidence."
Sempringham Priory,1,0,0,0,VCH Lincs II pp. 179-187; ODNB 'Holgate'. Holgate imposed as Master of entire Gilbertine Order 1536.
Bardney Abbey,0,0,0,0,VCH Lincs II pp. 97-104. Abbot Marton + 17 monks signed 1534 supremacy acknowledgement. Monks went out 4 Oct 'by command of William Wright.' Pre-Oct: compliance.
Thornton Abbey,0,0,0,0,VCH Lincs II pp. 178-184. Above 1536 threshold; quietly compliant.
Spalding Priory,0,0,0,0,VCH Lincs II pp. 118-124. Prior subscribed supremacy 1534. No specific Crown-interference episode or pre-Oct opposition.
Croyland Abbey,0,0,0,0,VCH Lincs II pp. 105-118. Abbot + 32 monks subscribed supremacy June 1534.
Austin Friars Grimsby,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Austin Friary, Boston",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Lincoln",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Boston,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Deeping St James Priory,0,0,0,0,VCH Lincs II. No evidence.
Grantham,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Boston",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Grimsby",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Greyfriars, Lincoln",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lincoln,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Austin Friars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Blackfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Greyfriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Stamford Whitefriars,0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Whitefriars, Lincoln",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
"Blackfriars, Boston",0,0,0,0,Friaries: wardens appointed by order; Crown interference N/A. No pre-Pilgrimage opposition documented.
Lambley Priory,0,0,0,0,VCH Northumberland. Small nunnery; no evidence.
St Michael's Priory,0,0,0,0,VCH Northumberland. Trinitarian; ministers appointed by order.
Skewkirk,0,0,0,0,VCH Yorks ER. Tiny.
Nunburnholme Priory,0,0,0,0,VCH Yorks III. No evidence.
Holystone Priory,0,0,0,0,VCH Northumberland. No evidence.
Ovingham Priory,0,0,0,0,VCH Northumberland. Small; no evidence.
Arthington Priory,0,0,0,0,VCH Yorks III. No evidence.
Farne Abbey,0,0,0,0,VCH Durham II. Durham dependency; no evidence.
Arden Priory,0,0,0,0,VCH Yorks III. No evidence.
Grosmont Priory,0,0,0,0,VCH Yorks NR II. Grandmontine; tiny.
Handale Priory,0,0,0,0,VCH Yorks III. No evidence.
Esholt Priory,0,0,0,0,VCH Yorks III. No evidence.
Seaton Priory,0,0,0,0,VCH Cumberland II. Small nunnery; no evidence.
Ellerton in Swaledale Priory,0,0,0,0,VCH Yorks III. No evidence.
Armathwaite Nunnery,0,0,0,0,VCH Cumberland II. No evidence.
Kersal,0,0,0,0,VCH Lancs. Tiny Cluniac cell; no evidence.
Kirklees Priory,0,0,0,0,VCH Yorks III. No evidence.
Neasham Priory,0,0,0,0,VCH Durham II. No evidence.
Thicket Priory,0,0,0,0,VCH Yorks III. No evidence.
Baysdale Priory,0,0,0,0,VCH Yorks III. No evidence.
Wilberfoss Priory,0,0,0,0,VCH Yorks III. No evidence.
Yedingham Priory,0,0,0,0,VCH Yorks III. No evidence.
Middlesborough Priory,0,0,0,0,VCH Yorks NR II. Small cell.
Monkwearmouth Abbey,0,0,0,0,VCH Durham II. Durham cell; no evidence.
Wykeham Priory,0,0,0,0,VCH Yorks III. No evidence.
Moxby Priory,0,0,0,0,VCH Yorks III. No evidence.
Penwortham Priory,0,0,0,0,VCH Lancs. Cell of Evesham; dissolved without resistance.
Keldholme Priory,0,0,0,0,VCH Yorks III. No evidence.
Carham,0,0,0,0,VCH Northumberland. Small; no evidence.
Nunkeeling Priory,0,0,0,0,VCH Yorks III. No evidence.
Knaresborough Priory,0,0,0,0,VCH Yorks III. Trinitarian; ministers appointed by order.
"St Bartholomew's Nunnery, Newcastle Upon Tyne",0,0,0,0,VCH Northumberland. No evidence.
Egglestone Abbey,0,0,0,0,VCH Yorks III; Historic England. Paid fine to continue under 1536 Act.
Rosedale Abbey,0,0,0,0,VCH Yorks III. No evidence.
Jarrow Priory,0,0,0,0,VCH Durham II. Durham cell; no evidence.
Blanchland Abbey,0,0,0,0,VCH Northumberland. Paid fine 1537; compliance.
"St Martin's Priory, Richmond",0,0,0,0,VCH Yorks NR II. Small Benedictine cell.
