almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
,0.0,,0.0,,0.0,,0.0,NORTHUMBERLAND,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1147.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,55.41985,-1.71914,,0.0,,0.0,Alnwick Abbey,45540.0,Premonstratensian,,POINT (417877.800726039 614028.6587573307),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-362.0,-1448.0,,0.0,,0.0,,0.0,,0.0,0.0,-136.5,-273.0,926.9230769230769,24100.0,53.40175,0.05614,,0.0,,0.0,Alvingham Priory,30890.0,Gilbertine,,POINT (536797.2622669461 391402.5005860073),4.0,1.0,,0,0.0,2.0,-590.0,-590.0,,0.0,,0.0,1952.0,9760.0,-3130.0,34020.0,-56.0,-168.0,,0.0,-11.0,-11.0,160.0,160.0,0,0.0,1538.0,0
-120.0,-120.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-160.0,-160.0,,0.0,1150.0,0.0,,0.0,,0.0,1.0,-9.0,-18.0,401.0,3208.0,54.310171,-1.203185,,0.0,,0.0,Arden Priory,2886.0,Benedictine,,POINT (451941.3073316825 490799.3476895731),5.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-322.0,3208.0,-24.0,-24.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,CUMBERLAND,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1200.0,0.0,,0.0,,0.0,1.0,-12.0,-12.0,1573.0,3146.0,54.778725,-2.721439,,0.0,,0.0,Armathwaite Nunnery,3264.0,Benedictine,,POINT (353694.3167920378 542884.0757193058),5.0,1.0,1.0,0,0.0,1.0,-30.0,-30.0,,0.0,,0.0,1440.0,1440.0,,4586.0,-1280.0,-1280.0,,0.0,,0.0,,0.0,0,0.0,1537.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, WEST RIDING",,0.0,,0.0,,,0.0,,0.0,-120.0,-120.0,,0.0,1154.0,0.0,,0.0,,0.0,1.0,-19.0,-19.0,360.0,2160.0,53.9017,-1.562,,0.0,,0.0,Arthington Priory,2740.0,Benedictine,,POINT (428877.0700531336 445146.4318570277),5.0,1.0,,0,0.0,4.0,,0.0,,0.0,,0.0,2400.0,2400.0,-1819.0,4560.0,-560.0,-1680.0,,0.0,,0.0,,0.0,0,0.0,1540.0,0
-276.0,-276.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-466.6666666666667,-2800.0,,0.0,1395.0,0.0,,0.0,,0.0,0.0,-374.5,-2247.0,1058.5657894736842,20112.75,53.5075,-0.7861,-27.0,-54.0,,0.0,Axholme Charterhouse,57062.75,Carthusian,,POINT (480605.1305021311 401884.4118804462),4.0,1.0,1.0,0,0.0,2.0,-84.0,-84.0,,0.0,,0.0,8145.5,24436.5,-12713.0,69775.75,-1450.4,-7252.0,745.3333333333334,2236.0,,0.0,23050.5,23050.5,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,NORTHUMBERLAND,-1200.0,-1200.0,60.0,60.0,1.0,,0.0,,0.0,-310.0,-620.0,,0.0,1122.0,0.0,,0.0,,0.0,0.0,,0.0,1983.5,3967.0,55.606773,-1.724607,,0.0,,0.0,Bamburgh Priory,27989.0,Augustinian,,POINT (417449.5068752866 634830.6228631127),5.0,1.0,,0,0.0,1.0,,0.0,,0.0,,0.0,6480.0,25920.0,-1958.0,29947.0,-198.0,-198.0,,0.0,,0.0,,0.0,0,0.0,1537.0,0
-1022.5,-2045.0,,0.0,-960.0,-960.0,,0.0,LINCOLNSHIRE,,0.0,240.0,240.0,,,0.0,,0.0,-304.61538461538464,-3960.0,,0.0,,0.0,,0.0,,0.0,0.0,-469.3333333333333,-2816.0,1981.4,59442.0,53.220786999999994,-0.333501,,0.0,,0.0,Bardney Abbey,87913.0,Benedictine,,POINT (511364.099397575 370597.2037020244),4.0,1.0,,0,0.0,2.0,-630.0,-630.0,,0.0,,0.0,2626.5,42024.0,-15131.0,103044.0,-900.0,-3600.0,191.14285714285714,1338.0,-1120.0,-1120.0,,0.0,0,0.0,1538.0,0
-1031.3333333333333,-6188.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-241.42857142857142,-3380.0,,0.0,1154.0,0.0,,0.0,,0.0,0.0,-69.5,-973.0,2898.818181818182,63774.0,53.247899999999994,-0.3685,,0.0,,0.0,Barlings Abbey,58149.5,Premonstratensian,,POINT (508958.8068559337 373559.2392032248),4.0,1.0,1.0,0,0.0,1.0,-308.5,-308.5,,0.0,,0.0,1584.0,7920.0,-15726.5,73877.0,-360.5833333333333,-2163.5,,0.0,-492.375,-1969.5,1092.0,2184.0,0,0.0,1537.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-180.0,-360.0,,0.0,1162.0,0.0,,0.0,,0.0,1.0,-48.0,-96.0,351.46666666666664,5272.0,54.451615,-1.043745,,0.0,,0.0,Baysdale Priory,4816.0,Cistercian,,POINT (462101.3573122994 506666.1493989492),5.0,1.0,,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-456.0,5272.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, EAST RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1201.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,53.842641,-0.422826,,0.0,,0.0,Beverley Preceptory,39478.0,Augustinian,,POINT (503869.7990867372 439639.1764862762),5.0,,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,1,2.0,1540.0,0
,0.0,,0.0,,0.0,,0.0,NORTHUMBERLAND,,0.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,1165.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,54.848211,-2.055905,,0.0,,0.0,Blanchland Abbey,9708.0,Premonstratensian,,POINT (396508.7811085367 550378.9616246199),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, WEST RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1120.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,53.983708,-1.88836,,0.0,,0.0,Bolton Priory,50920.0,Augustinian,,POINT (407418.9380448578 454187.9560232977),5.0,1.0,,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1540.0,0
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-300.0,-1200.0,,0.0,1138.0,0.0,,0.0,,0.0,0.0,-90.6875,-362.75,1765.4166666666667,26481.25,52.76632200000001,-0.37555600000000006,,0.0,,0.0,Bourne Abbey,40254.5,Augustinian,,POINT (509700.5836696727 319981.5397276344),4.0,1.0,1.0,0,0.0,0.0,-610.0,-610.0,,0.0,,0.0,2976.6666666666665,17860.0,-7234.75,47489.25,-930.8,-4654.0,132.0,528.0,-48.0,-48.0,320.0,320.0,0,0.0,1536.0,1
-5360.0,-5360.0,,0.0,,0.0,,0.0,"YORKSHIRE, EAST RIDING",,0.0,,0.0,,,0.0,,0.0,-413.3333333333333,-4960.0,,0.0,1113.0,0.0,,0.0,,0.0,0.0,-124.35714285714286,-1741.0,1476.7413793103449,85651.0,54.094307,-0.202061,,0.0,,0.0,Bridlington Priory,131363.0,Augustinian,,POINT (517683.6377366991 467981.4431692783),5.0,1.0,,0,0.0,2.0,-414.0,-828.0,,0.0,,0.0,3401.6,34016.0,-32481.0,163845.0,-1471.6666666666667,-17660.0,,0.0,-640.0,-1920.0,3680.0,44160.0,0,0.0,1538.0,0
