city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Barnsley,53.5537,-1.4791,0,0,1,1,1,1,1,1,1,1,2,4,13,,0,0,0,3,0,0,8.896174431,448.8817444,45.93199539,1776.18103,195.9651184,7255.129395,70.16857147
Bath,51.38,-2.36,1,1,2,2,1,2,2,2,3,3,10,33,54,1,0,0,0,15.5,1,0.5,19.18220139,1209.453491,67.21699524,4362.333984,202.3361969,14158.68066,49.03351212
Beverley,53.845,-0.427,1,2,2,2,1,2,2,2,3,3,4,6,9,0,0,0,0,2,1,0.5,22.11294937,823.8469238,65.29838562,2280.183594,218.9949036,7772.794434,28.72846603
Bilston,52.566,-2.0728,1,1,2,2,1,2,3,3,3,4,5,7,24,1,0,0.5,0,1.333333333,2,0.333333333,4.8772645,102.1567307,49.91252899,1530.227539,238.3713074,10248.95703,89.06024933
Birmingham,52.48,-1.9025,0,0,1,1,1,1,1,2,4,7,24,71,233,,0,0,1,34.5,0,6,5.818788052,194.8895569,71.84938812,2723.601807,262.546936,11793.36621,86.71099854
Blackburn,53.748,-2.482,0,1,1,1,1,1,2,2,1,1,4,12,47,0,0,1,0,5,1,-0.5,3.667413473,186.2007294,19.32275009,551.0325317,78.420578,2991.500732,52.59107208
Blackpool,53.8142,-3.0503,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,2.337548971,28.98386192,15.17016983,437.6717529,52.27148438,2008.366333,23.6038456
Bolton,53.578,-2.429,0,1,1,1,1,1,1,2,2,2,1,13,61,0,0,0,1,5.5,0,1,1.252079844,7.797895908,16.15288162,434.2494812,81.16608429,3116.95459,64.72872925
Boston,52.974,-0.0214,1,2,4,7,6,2,2,2,3,4,5,6,15,2.5,-0.714285714,0,0,2,-0.666666667,1,8.306762695,268.6407776,61.94176483,2663.162842,254.2784729,10481.9502,12.85790348
Bournemouth,50.72,-1.88,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,4.459920883,231.2293701,31.69127083,1262.37439,130.4827728,7627.262207,28.41376305
Brighton,50.8429,-0.1313,0,1,1,2,1,2,2,2,3,3,5,8,66,1,0,0,0,3,1,0.5,3.721058607,501.6392822,15.53571606,1085.450928,104.6262817,7119.007813,56.8768959
Bristol,51.45,-2.5833,1,2,3,11,10,10,11,12,15,20,50,64,137,4.5,-0.090909091,0.1,0.090909091,4.333333333,0.1,0.818181818,20.90020943,1129.149292,53.07543564,3537.770752,179.5700836,12622.58301,44.40455627
Bromsgrove,52.3353,-2.0579,1,1,2,2,1,2,2,2,3,3,4,6,10,1,0,0,0,2,1,0.5,13.49089146,476.4488525,74.98435211,4029.97998,254.7167358,13077.29492,78.19153595
Burnley,53.789,-2.248,0,1,1,1,1,1,1,1,1,1,2,5,25,0,0,0,0,4,0,0,3.609591484,178.6137238,16.27453613,554.2433472,100.5232391,3931.201172,57.93661499
Burslem,53.0426,-2.1879,0,1,1,1,1,1,1,1,1,1,3,7,20,0,0,0,0,6,0,0,8.822631836,212.3027802,34.33700943,1033.903076,149.0558319,5189.325195,83.831604
Bury,53.593,-2.298,0,0,0,0,0,1,1,1,1,1,3,7,25,,,0,0,6,,0,1.783730626,11.10831165,12.45107079,332.1071472,90.79117584,3482.196777,68.63059998
Canterbury,51.28,1.08,2,4,5,6,4,3,4,6,7,8,8,9,28,0.5,-0.5,0.333333333,0.5,0.5,0,1,25.40373039,4005.224854,56.88892365,4891.001953,122.2872391,8480.186523,46.61790848
Carlisle,54.891,-2.944,1,1,1,1,1,1,1,2,2,2,4,9,26,0,0,0,1,3.5,0,1,9.765202522,507.3432617,21.01794243,919.8724976,41.50833893,1572.116943,6.071732521
Chatham,51.37,0.52,1,1,1,1,1,1,1,1,2,5,5,22,49,0,0,0,0,21,0,4,13.3503685,782.697998,50.14182663,2829.227783,224.1974487,18157.88477,165.8449707
Chelmsford,51.7361,0.4798,0,0,1,1,1,1,2,2,2,3,3,4,7,,0,1,0,1,1,0.5,4.794417381,133.1515808,51.17200089,2171.369629,259.3746643,18505.74219,159.5791168
Cheltenham,51.9,-2.0667,0,0,1,1,1,1,1,1,1,2,2,3,35,,0,0,0,2,0,1,17.02498245,1966.968262,77.29257202,7427.76709,241.4599609,15774.44336,48.88722992
Chester,53.19,-2.89,3,3,3,4,3,4,5,6,5,5,13,15,28,0.333333333,0,0.25,0.2,1.5,0.666666667,0,11.09190464,1068.484863,25.26067543,1705.256592,75.85222626,3326.329346,50.70052338
Chichester,50.8365,-0.7792,1,2,2,2,1,2,2,2,3,3,4,5,9,0,0,0,0,1.5,1,0.5,5.397571087,143.4817352,29.84931564,826.2480469,116.6893311,6660.040039,36.16617584
Colchester,51.8917,0.903,2,3,5,7,4,5,6,8,9,10,9,12,19,1.333333333,-0.285714286,0.2,0.333333333,0.5,0.5,0.666666667,14.30682087,824.1286011,47.01919556,2127.833984,186.4411469,9643.737305,57.40979385
Congleton,53.162,-2.217,0,1,1,1,1,2,2,2,3,3,3,4,11,0,1,0,0,1,1,0.5,2.461264133,79.69091034,24.87322044,925.3970337,129.3562469,4558.410156,81.43042755
