almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
,0.0,,0.0,,0.0,,0.0,BERKSHIRE,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,967.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,51.670872,-1.277557,,0.0,,0.0,Abingdon Abbey,450369.0,Benedictine,675.0,POINT (450055.6825148921 197146.3580668544),2.0,1.0,1.0,0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,NORTHUMBERLAND,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1147.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,55.41985,-1.71914,,0.0,,0.0,Alnwick Abbey,45540.0,Premonstratensian,,POINT (417877.800726039 614028.6587573307),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,WILTSHIRE,,0.0,240.0,240.0,,,0.0,,0.0,-330.5,-1322.0,,0.0,979.0,0.0,,0.0,,0.0,1.0,-480.0,-480.0,1765.4444444444443,15889.0,51.174037,-1.785074,,0.0,,0.0,Amesbury Priory,16044.5,Benedictine,,POINT (415120.9403328885 141666.7640458313),3.0,1.0,1.0,0,0.0,3.0,-54.75,-109.5,,0.0,,0.0,6599.5,6599.5,,,,0.0,,0.0,,0.0,1971.2,9856.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,CAMBRIDGESHIRE,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1212.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,52.237,0.24,,0.0,,0.0,Anglesey Priory,29988.0,Augustinian,,POINT (553053.6159116665 262229.6621359421),1.0,1.0,1.0,0,0.0,-1.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1535.0,0
,0.0,,0.0,,0.0,,0.0,WILTSHIRE,,0.0,,0.0,,,0.0,,0.0,-640.0,-1280.0,,0.0,1211.0,0.0,,0.0,,0.0,0.0,,0.0,21621.5,21621.5,51.036495,-2.063967,,0.0,,0.0,Ansty Preceptory,19541.5,Augustinian,,POINT (395610.8813080965 126351.1080147988),3.0,1.0,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,-2080.0,21621.5,-800.0,-800.0,,0.0,,0.0,,0.0,0,0.0,1540.0,0
-120.0,-120.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-160.0,-160.0,,0.0,1150.0,0.0,,0.0,,0.0,1.0,-9.0,-18.0,401.0,3208.0,54.310171,-1.203185,,0.0,,0.0,Arden Priory,2886.0,Benedictine,,POINT (451941.3073316825 490799.3476895731),5.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-322.0,3208.0,-24.0,-24.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,CUMBERLAND,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1200.0,0.0,,0.0,,0.0,1.0,-12.0,-12.0,1573.0,3146.0,54.778725,-2.721439,,0.0,,0.0,Armathwaite Nunnery,3264.0,Benedictine,,POINT (353694.3167920378 542884.0757193058),5.0,1.0,1.0,0,0.0,1.0,-30.0,-30.0,,0.0,,0.0,1440.0,1440.0,,4586.0,-1280.0,-1280.0,,0.0,,0.0,,0.0,0,0.0,1537.0,0
-756.8888888888889,-6812.0,,0.0,-600.0,-600.0,,0.0,SOMERSET,,0.0,350.0,1400.0,,,0.0,,0.0,-424.61538461538464,-5520.0,,0.0,879.0,0.0,,0.0,,0.0,0.0,-50.95454545454545,-1121.0,3882.640625,62122.25,51.0593,-2.93458,,0.0,,0.0,Athelney Abbey,50163.25,Benedictine,,POINT (334600.1057784605 129300.9749441948),3.0,1.0,1.0,0,0.0,4.0,-185.25,-370.5,,0.0,,0.0,1589.0,3178.0,,,-865.75,-5194.5,1046.0,2092.0,-26.666666666666668,-80.0,176.0,880.0,0,0.0,1540.0,0
-276.0,-276.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-466.6666666666667,-2800.0,,0.0,1395.0,0.0,,0.0,,0.0,0.0,-374.5,-2247.0,1058.5657894736842,20112.75,53.5075,-0.7861,-27.0,-54.0,,0.0,Axholme Charterhouse,57062.75,Carthusian,,POINT (480605.1305021311 401884.4118804462),4.0,1.0,1.0,0,0.0,2.0,-84.0,-84.0,,0.0,,0.0,8145.5,24436.5,-12713.0,69775.75,-1450.4,-7252.0,745.3333333333334,2236.0,,0.0,23050.5,23050.5,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,BUCKINGHAMSHIRE,,0.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,1386.0,0.0,,0.0,,0.0,0.0,-151.5,-303.0,1052.0,1052.0,51.815217,-0.814867,,0.0,,0.0,Aylesbury Friary,749.0,Franciscan,,POINT (481790.8303063397 213617.1617892507),2.0,1.0,1.0,0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,-303.0,1052.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
