name,counterParty,lat,long,L,s,d,total,multi,split,land,tithe,mill,fee,alms,infra,transfer,court,annuity,education,unknown,sum,selected,diocese,town,order,typeHouse,members,year,latitude,longitude,mother hou,nickAdd,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,region,founded,originalFoundation,ID,synProx,incomplete,type
"St Mary's Abbey, York",Airmyn,53.718979,-0.902809,40,18,7,9823.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,land
"St Mary's Abbey, York",Airmyn tithe,53.718979,-0.902809,,50,,600.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,tithe
"St Mary's Abbey, York",Carhouse,53.5472,-0.8305,,66,8,800.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,land
"St Mary's Abbey, York",Doncaster,53.522713,-1.13234,33,6,8,8000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,transfer
"St Mary's Abbey, York",Doncaster,53.522713,-1.13234,23,6,8,5600.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,tithe
"St Mary's Abbey, York",Belton,52.946428,-0.61644912,12,7,8,2972.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,land
"St Mary's Abbey, York",Thurgarton Priory,53.035326,-0.96995,7,13,4,1840.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,transfer
"St Mary's Abbey, York",Sempringham Priory,52.878899,-0.358087,,30,,360.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,tithe
"St Mary's Abbey, York",Priore de Vade,,,,15,,180.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,tithe
"St Mary's Abbey, York",Stampford Prioress,,,,60,,720.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,transfer
"St Mary's Abbey, York",Haslingfield,52.156863,0.059067,,100,,1200.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,land
"St Mary's Abbey, York",Haslingfield Rectory,52.156863,0.059067,15,,,3600.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,York,Benedictine,,Monks,1539,53.961389,-1.088056,,,1650.0,7.408530567,3,1,0,1,0,1,2.636308531,0,0.0,"YORKSHIRE, NORTH RIDING",5,1180.0,,763,0,0,tithe
