Grid-cell,Longitude,Latitude
1,16.75,27.25
2,17.25,27.25
3,17.75,27.25
4,32.25,27.25
5,32.75,27.25
6,33.25,27.25
7,36.75,27.25
8,37.25,27.25
9,37.75,27.25
10,38.25,27.25
11,38.75,27.25
12,39.25,27.25
13,39.75,27.25
14,40.25,27.25
15,40.75,27.25
16,41.25,27.25
17,41.75,27.25
18,42.25,27.25
19,42.75,27.25
20,43.25,27.25
21,43.75,27.25
22,44.25,27.25
23,44.75,27.25
24,16.75,27.75
25,17.25,27.75
26,17.75,27.75
27,32.25,27.75
28,32.75,27.75
29,36.25,27.75
30,36.75,27.75
31,37.25,27.75
32,39.25,27.75
33,39.75,27.75
34,40.25,27.75
35,40.75,27.75
36,41.25,27.75
37,41.75,27.75
38,42.25,27.75
39,42.75,27.75
40,43.25,27.75
41,43.75,27.75
42,44.25,27.75
43,44.75,27.75
44,13.25,28.25
45,13.75,28.25
46,14.25,28.25
47,16.25,28.25
48,16.75,28.25
49,17.25,28.25
50,32.25,28.25
51,32.75,28.25
52,34.25,28.25
53,35.75,28.25
54,36.25,28.25
55,40.25,28.25
56,40.75,28.25
57,41.25,28.25
58,41.75,28.25
59,42.25,28.25
60,42.75,28.25
61,43.25,28.25
62,43.75,28.25
63,44.25,28.25
64,44.75,28.25
65,12.75,28.75
66,13.25,28.75
67,13.75,28.75
68,14.25,28.75
69,14.75,28.75
70,15.25,28.75
71,15.75,28.75
72,16.25,28.75
73,16.75,28.75
74,17.25,28.75
75,17.75,28.75
76,18.25,28.75
77,18.75,28.75
78,19.25,28.75
79,19.75,28.75
80,32.25,28.75
81,33.75,28.75
82,34.25,28.75
83,35.25,28.75
84,35.75,28.75
85,40.75,28.75
86,41.25,28.75
87,41.75,28.75
88,42.25,28.75
89,42.75,28.75
90,43.25,28.75
91,43.75,28.75
92,44.25,28.75
93,44.75,28.75
94,12.25,29.25
95,12.75,29.25
96,13.25,29.25
97,13.75,29.25
98,14.25,29.25
99,14.75,29.25
100,15.25,29.25
101,15.75,29.25
102,16.25,29.25
103,16.75,29.25
104,17.25,29.25
105,17.75,29.25
106,18.25,29.25
107,18.75,29.25
108,19.25,29.25
109,19.75,29.25
110,20.25,29.25
111,20.75,29.25
112,29.25,29.25
113,29.75,29.25
114,31.75,29.25
115,33.75,29.25
116,34.25,29.25
117,35.25,29.25
118,35.75,29.25
119,37.25,29.25
120,40.75,29.25
121,41.25,29.25
122,41.75,29.25
123,42.25,29.25
124,42.75,29.25
125,43.25,29.25
126,43.75,29.25
127,44.25,29.25
128,44.75,29.25
129,11.25,29.75
130,11.75,29.75
131,12.25,29.75
132,12.75,29.75
133,13.25,29.75
134,13.75,29.75
135,14.25,29.75
136,14.75,29.75
137,15.25,29.75
138,15.75,29.75
139,16.25,29.75
140,16.75,29.75
141,17.25,29.75
142,17.75,29.75
143,18.25,29.75
